joint,channel_type,source,is_major_key_joint,valid_rows,missing_rows,missing_percent,rms_jitter_m,rms_jitter_mm,max_instantaneous_jump_m,max_instantaneous_jump_mm,trajectory_rmse_m,trajectory_rmse_mm,max_jump_frame,max_jump_time_s,quality_flag
LWrist,Derived,"mean(LWristOut, LWristIn)",True,7150,51,0.7082349673656436,0.012644460429363248,12.644460429363248,0.19507612764283405,195.07612764283405,0.012644460429363248,12.644460429363248,1269,10.575,ok
LElbow,Derived,"mean(LElbowOut, LFArm_2)",True,7195,6,0.08332176086654632,0.00998164224271971,9.98164224271971,0.12577431171688733,125.77431171688733,0.00998164224271971,9.98164224271971,6585,54.875,ok
LHand,Bone,Skeleton 002:LHand,True,7201,0,0.0,0.00955763549978628,9.55763549978628,0.08347301956457413,83.47301956457413,0.00955763549978628,9.55763549978628,5078,42.316667,ok
RElbow,Derived,"mean(RElbowOut, RFArm_2)",True,7183,18,0.24996528259963893,0.008214338720103746,8.214338720103745,0.11011009396279747,110.11009396279748,0.008214338720103746,8.214338720103745,6282,52.35,ok
LHip,Derived,"mean(WaistLFront, WaistLBack, LThigh)",True,7201,0,0.0,0.007450591767285531,7.45059176728553,0.10625951004297979,106.25951004297978,0.007450591767285531,7.45059176728553,6603,55.025,ok
LToe,Bone,Skeleton 002:LToe,True,7201,0,0.0,0.007392534603804,7.392534603804,0.14414897226756465,144.14897226756466,0.007392534603804,7.392534603804,5930,49.416667,ok
LFoot,Bone,Skeleton 002:LFoot,True,7201,0,0.0,0.006947012149900456,6.947012149900456,0.12132630741824793,121.32630741824794,0.006947012149900456,6.947012149900456,5930,49.416667,ok
RHip,Derived,"mean(WaistRFront, WaistRBack, RThigh)",True,7201,0,0.0,0.006344481596988783,6.344481596988783,0.07891736887675707,78.91736887675707,0.006344481596988783,6.344481596988783,2194,18.283333,ok
RToe,Bone,Skeleton 002:RToe,True,7201,0,0.0,0.006325244855727782,6.325244855727782,0.06375240041223822,63.75240041223822,0.006325244855727782,6.325244855727782,1934,16.116667,ok
RFoot,Bone,Skeleton 002:RFoot,True,7201,0,0.0,0.005781153229651915,5.781153229651915,0.0638475040568235,63.8475040568235,0.005781153229651915,5.781153229651915,1934,16.116667,ok
Skeleton_002,Bone,Skeleton 002:Skeleton 002,True,7201,0,0.0,0.003240709652458538,3.240709652458538,0.038003154050860216,38.00315405086022,0.003240709652458538,3.240709652458538,6603,55.025,ok
Ab,Bone,Skeleton 002:Ab,True,7201,0,0.0,0.0030704939067469007,3.0704939067469006,0.03632302634941096,36.32302634941096,0.0030704939067469007,3.0704939067469006,6603,55.025,ok
Chest,Bone,Skeleton 002:Chest,True,7201,0,0.0,0.0028503014924680394,2.850301492468039,0.024670269945246348,24.670269945246346,0.0028503014924680394,2.850301492468039,471,3.925,ok
RShoulder,Bone,Skeleton 002:RShoulder,True,7201,0,0.0,0.0026869396515708972,2.6869396515708974,0.025402758802192605,25.402758802192604,0.0026869396515708972,2.6869396515708974,6320,52.666667,ok
LShoulder,Bone,Skeleton 002:LShoulder,True,7201,0,0.0,0.002676488573848373,2.6764885738483732,0.023593987831731736,23.593987831731734,0.002676488573848373,2.6764885738483732,6320,52.666667,ok
Neck,Bone,Skeleton 002:Neck,True,7201,0,0.0,0.002563088312840004,2.563088312840004,0.02335797554692462,23.35797554692462,0.002563088312840004,2.563088312840004,6320,52.666667,ok
Head,Bone,Skeleton 002:Head,True,7201,0,0.0,0.002093022196798972,2.093022196798972,0.017942312067285405,17.942312067285403,0.002093022196798972,2.093022196798972,6320,52.666667,ok
RWrist,Derived,"mean(RWristOut, RWristIn)",True,6949,252,3.4995139563949453,0.016899898334166788,16.89989833416679,0.9884591217100318,988.4591217100318,0.016899898334166788,16.89989833416679,6349,52.908333,poor
LAnkle,Derived,"mean(LAnkleOut, LHeel)",True,6399,802,11.137342035828357,0.015773814611281085,15.773814611281086,0.17935194842495833,179.35194842495832,0.015773814611281085,15.773814611281086,6038,50.316667,poor
RHand,Bone,Skeleton 002:RHand,True,7201,0,0.0,0.015161378677800182,15.161378677800181,0.9628981757731703,962.8981757731702,0.015161378677800182,15.161378677800181,6349,52.908333,poor
LKnee,Derived,"mean(LKneeOut, LShin_2)",True,6949,252,3.4995139563949453,0.014196397538897355,14.196397538897354,0.15403857553908445,154.03857553908446,0.014196397538897355,14.196397538897354,2179,18.158333,warning
RAnkle,Derived,"mean(RAnkleOut, RHeel)",True,6963,238,3.3050965143730036,0.013516489629834047,13.516489629834048,0.2048295926349585,204.82959263495852,0.013516489629834047,13.516489629834048,6923,57.691667,warning
RKnee,Derived,"mean(RKneeOut, RShin_2)",True,7138,63,0.8748784890987363,0.011645582027492834,11.645582027492834,0.20361223879223828,203.6122387922383,0.011645582027492834,11.645582027492834,334,2.783333,warning
