frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-0.7148796669595769,699.2851203330404,-0.7148796669595772,0.6632732058270457,550.663273205827,0.6632732058270455,-0.1931688310105496,299.80683116898945,-0.1931688310105497,0.03703574333979531,400.03703574333974,0.03703574333979531,0.15122248442906566,200.151222484429,0.15122248442906566,0.9096259007076563,100.90962590070754,0.9096259007076561,-0.1787041548437147,999.8125450308983,-0.18307875309034727,-197.98702488059368,500.40849204698304,0.3166594050613719,-344.7503007604007,397.45503866356114,2.3730680079012947,-444.92445731413875,203.86184146175447,1.7502010267476997,-503.826403067051,43.49246347269593,1.0393593723656833,2.0866496808794466,-192.43490140548155,-0.24002915489801058,-0.4695519767953912,-200.46955197679543,-0.4695519767953911,-0.5393092161363706,-200.53930921613636,-0.5393092161363706,0.15348978920148706,-199.84651021079856,0.153489789201487,0.3787436792714038,-199.6212563207286,0.3787436792714038,201.7473375467057,500.4284399878189,0.3366073458971076,345.9088689641981,404.91094260000705,-0.45803286652133,456.2133375192343,196.10922616665334,1.6332172803836107,501.77677079596623,54.64324009626313,-3.106258752547767,3.5223915662420273,-192.41484782786657,-4.320279437317382,1.0545336159241763,-198.9454663840759,1.0545336159241763,-0.048637425262060136,-200.0486374252621,-0.04863742526206016,0.40947210110578797,-199.59052789889427,0.4094721011057879,-1.217343089358503,-201.21734308935854,-1.217343089358503,-149.94310157801692,-99.6422055148841,0.14884515440684082,-150.07007760749076,-449.769181544358,0.02186912493302262,-149.60487263840258,-899.3039765752699,0.4870740940211935,1.138611664256973,-198.86138833574307,1.138611664256973,150.55557975150327,-99.72781468311331,0.47238221557274995,149.408973262661,-450.87442117195565,-0.6742242732695076,149.20480453091585,-901.0785899037008,-0.8783930050146741,-0.5499533739792344,-200.54995337397926,-0.5499533739792344
1,0.01,-0.9522542552197018,699.0477457447802,-0.9522542552197018,0.27704790472222596,550.2770479047222,0.27704790472222596,-0.4984908858173974,299.5015091141826,-0.49849088581739753,-0.43893545050567107,399.5610645494943,-0.43893545050567123,-0.17698024074399527,199.823019759256,-0.17698024074399535,0.4375925458813322,100.43759254588123,0.4375925458813319,0.1438208971797954,1000.1322457213153,0.13803480069394192,-198.23909332571986,500.1564831858266,0.0350376748941106,-344.967410054807,397.0540697056855,2.020566584227816,-445.1221549979307,203.46037303679446,1.548454577047349,-504.1617073276225,43.043052943545476,0.7740685641915279,1.716753555298963,-192.68568801067255,-0.6043005671086449,-0.6180629656199306,-200.61806296561997,-0.6180629656199305,-0.7749898874783031,-200.7749898874783,-0.7749898874783031,-0.1469159425974144,-200.14691594259745,-0.1469159425974146,0.13669130093186677,-199.86330869906817,0.1366913009318667,201.50832023332327,500.2925992845207,0.17115377358821302,345.3380082049836,404.53912718189525,-0.8484508866214309,455.99302435162684,195.98733970306898,1.4737850822713283,501.33555856598116,54.46149269215991,-3.3456412960174755,3.172051863830346,-192.7712027111881,-4.654236443772001,0.7549532788214259,-199.24504672117862,0.7549532788214259,-0.15362290472115042,-200.1536229047212,-0.1536229047211505,0.19244225550795913,-199.80755774449207,0.19244225550795907,-1.2890816981026465,-201.2890816981027,-1.2890816981026465,-150.2790682402526,-99.88082237244527,-0.15741280969744448,-150.24207163694714,-449.8438257691398,-0.12041620639200938,-149.81869716371207,-899.4204512959047,0.30295826684308785,0.64877355019856,-199.35122644980146,0.64877355019856,150.1194185937849,-100.25567692229319,0.00933535620146976,148.99016800447606,-451.3849275116022,-1.1199152331073803,148.9106596098436,-901.4644359062346,-1.1994236277398427,-0.8085858123472215,-200.80858581234725,-0.8085858123472216
2,0.02,-1.2565821600759248,698.743417839924,-1.2565821600759248,-0.27820610902725307,549.7217938909728,-0.2782061090272532,-0.9288307525522155,299.0711692474478,-0.9288307525522155,-1.0615048371491382,398.9384951628508,-1.0615048371491382,-0.5953913219034501,199.4046086780966,-0.5953913219034502,-0.2135583742159538,99.78644162578398,-0.21355837421595392,0.5725921343870433,1000.5559620611646,0.5642801560395325,-198.56404378907774,499.83215269058496,-0.34227074005444746,-345.2272284976631,396.4707652137631,1.521476846297101,-445.38086387979587,202.83969086066065,1.285512063304517,-504.62759344604603,42.36957418933626,0.4249241894771415,1.1818114682268808,-193.0079068719879,-1.1251262182573174,-0.7725287842617655,-200.7725287842618,-0.7725287842617654,-1.0564081682073703,-201.05640816820738,-1.0564081682073705,-0.5347037273272729,-200.5347037273273,-0.534703727327273,-0.22326057480814823,-200.22326057480817,-0.2232605748081483,201.17636698753398,500.145715735051,-0.028707695588501947,344.5258519691799,404.0774928347903,-1.3411611377633594,455.7190159498004,195.8960172134088,1.3126179946154253,500.7774861214466,54.3670795695258,-3.5370115818351175,2.6357561138023877,-193.31512790788526,-5.149310241938517,0.33068434265553387,-199.66931565734453,0.3306843426555338,-0.2637783978139927,-200.26377839781404,-0.26377839781399287,-0.10599660815982812,-200.10599660815984,-0.10599660815982839,-1.2820033362958279,-201.28200333629584,-1.2820033362958279,-150.6421209300605,-100.06945228760037,-0.4672681650584164,-150.38380805054328,-449.8111394080832,-0.208955285541176,-150.0518649903619,-899.4791963479017,0.12298777464020874,-0.062384981782102056,-200.06238498178215,-0.062384981782102056,149.5259878240176,-101.01342067199732,-0.6322409842894958,148.41642039566247,-452.1229881003525,-1.741808412644598,148.49681251262012,-902.0425959833949,-1.661416295686955,-1.1300264238699413,-201.13002642386996,-1.1300264238699413
3,0.03,-1.4118887373648674,698.5881112626352,-1.4118887373648676,-0.759695148239004,549.240304851761,-0.7596951482390041,-1.2828534494338526,298.7171465505662,-1.2828534494338528,-1.4239702515991355,398.57602974840097,-1.4239702515991355,-0.8477304339542712,199.1522695660458,-0.8477304339542713,-0.6526156676008709,99.34738433239912,-0.6526156676008711,0.8522791220990388,1000.8292063072554,0.8407485876699068,-198.7510808613152,499.64701351519034,-0.5948818507815893,-345.3427683108739,395.95498712435284,1.1076314617293943,-445.5306423261236,202.234539009634,1.136810140748047,-504.9953020720301,41.73027315013019,0.18764392984202855,0.7145011349366179,-193.20543589555683,-1.5659468494295408,-0.7536593281314179,-200.7536593281314,-0.7536593281314179,-1.1779620294827815,-201.17796202948279,-1.1779620294827815,-0.7834691366155337,-200.7834691366155,-0.7834691366155337,-0.5468536758319504,-200.54685367583198,-0.5468536758319504,200.89685490495913,500.1029447107061,-0.1389506552658175,343.8663400110928,403.85234397067796,-1.6012008518038794,455.5973179913932,196.02110053236018,1.342992460017876,500.4394548814746,54.61797317867004,-3.3964852264228194,2.1611983116064177,-193.79271071854748,-5.545927444296047,0.012389921029317102,-199.9876100789707,0.012389921029316991,-0.2698844769196079,-200.26988447691963,-0.269884476919608,-0.35932015785579374,-200.3593201578558,-0.35932015785579385,-1.0863931217091216,-201.08639312170914,-1.0863931217091216,-150.70925329865716,-99.91382168378229,-0.4665359723585868,-150.30296175375895,-449.50753013888414,-0.06024442746037273,-150.1033493795455,-899.3079177646707,0.13936794675308295,-0.6211339193850562,-200.62113391938504,-0.6211339193850562,149.0884831937312,-101.66080279145635,-1.1311730637091029,148.00312687949486,-452.74615910569275,-2.216529377945453,148.18286193135913,-902.5664240538287,-2.0367943260812127,-1.302662591407177,-201.3026625914072,-1.302662591407177
4,0.04,-1.2930419729265397,698.7069580270735,-1.2930419729265399,-1.0482133725493155,548.9517866274508,-1.0482133725493155,-1.4738790737636154,298.52612092623644,-1.4738790737636156,-1.3329577230671417,398.667042276933,-1.3329577230671417,-0.8572125589617213,199.14278744103837,-0.8572125589617214,-0.6546843677467705,99.34531563225326,-0.6546843677467707,0.8737399798662124,1000.8435500113528,0.8586553991218149,-198.71835089494078,499.68354058730847,-0.6328004579153866,-345.26139774695935,395.61280012746795,0.8698799968161441,-445.49018575059745,201.78136073366056,1.188323446195142,-505.1492844655987,41.266152310577745,0.14984257805501225,0.4013800124936304,-193.22344853198268,-1.8373206576152779,-0.5074023865183414,-200.50740238651832,-0.5074023865183412,-1.0884021484470572,-201.08840214844707,-1.0884021484470574,-0.8157831514899219,-200.81578315148994,-0.8157831514899219,-0.7226674853534694,-200.7226674853535,-0.7226674853534696,200.70256861251428,500.17144626999936,-0.1448947752245569,343.5434693201743,403.9901558857352,-1.4948485604531958,455.71440147032183,196.43185675243828,1.640450055620697,500.3752552312716,55.20011727878074,-2.9163514433152953,1.951195517266085,-193.99595148709676,-5.631509529687879,-0.06713594280723223,-200.06713594280723,-0.06713594280723223,-0.15953774220549155,-200.15953774220552,-0.1595377422054917,-0.5576228304430563,-200.5576228304431,-0.5576228304430564,-0.7765308013839008,-200.7765308013839,-0.776530801383901,-150.4210485110142,-99.37875337583984,-0.10325681857064972,-150.00484170958254,-448.9625465744082,0.31294998286099324,-149.94924569904882,-898.9069505638745,0.36854599339473815,-0.7914311889666485,-200.79143118896664,-0.7914311889666485,148.92460062812026,-102.05731457002747,-1.3630219028344794,147.88486801501787,-453.09704718312986,-2.4027545159368766,148.09217216718434,-902.8897430309635,-2.1954503637704175,-1.259139975673085,-201.2591399756731,-1.2591399756730852
5,0.05,-0.9114305594847023,699.0885694405154,-0.9114305594847023,-1.1363870337136621,548.8636129662865,-1.1363870337136621,-1.5162054615337877,298.48379453846627,-1.5162054615337879,-0.8927235878199165,399.1072764121802,-0.8927235878199165,-0.7105945902058163,199.28940540979426,-0.7105945902058166,-0.29973111083400944,99.70026888916607,-0.2997311108340096,0.7084732040830792,1000.6709191668226,0.6897133564542723,-198.5415827901428,499.86639719861284,-0.5268421064504228,-345.0540393746392,395.405581892603,0.7605633556214283,-445.3080476893606,201.4650418251544,1.394309371544412,-505.0600597523896,41.022736143577355,0.32439945094099276,0.1705924257610344,-193.15400758277232,-2.010012429163708,-0.18616599141144408,-200.18616599141143,-0.18616599141144408,-0.8962892385445285,-200.89628923854457,-0.8962892385445287,-0.6872719020145701,-200.6872719020146,-0.6872719020145701,-0.6912750023998844,-200.69127500239992,-0.6912750023998844,200.54879811193868,500.2910973700344,-0.10214193502894625,343.49623076360353,404.39508113651937,-1.1137409137699306,455.97444876928034,197.02193461475736,2.102376973199723,500.38024043163625,55.86666935352156,-2.3306949427195427,2.060513272432257,-193.86716282139594,-5.345986246334835,0.06562913878746404,-199.93437086121253,0.06562913878746399,-0.028580814237674224,-200.0285808142377,-0.02858081423767435,-0.7549085826545701,-200.75490858265462,-0.7549085826545701,-0.5429541076252897,-200.5429541076253,-0.5429541076252897,-149.9740942289462,-98.67523200195453,0.4215287448788456,-149.66225331292512,-448.3633910859335,0.7333696608999325,-149.73520162679182,-898.4363393998001,0.6604213470332359,-0.6175592030858663,-200.6175592030859,-0.6175592030858665,148.94105928390306,-102.28269486856733,-1.4170439946643847,147.97011045221214,-453.2536437002583,-2.3879928263552994,148.2066979269525,-903.017056225518,-2.151405351614935,-1.058193234957719,-201.0581932349577,-1.058193234957719
6,0.06,-0.3747863516771993,699.6252136483229,-0.3747863516771993,-1.0605245841484714,548.9394754158517,-1.0605245841484714,-1.4281954932278467,298.5718045067722,-1.4281954932278467,-0.3500990880149739,399.6499009119852,-0.350099088014974,-0.5024660584261984,199.49753394157386,-0.5024660584261986,0.12667139491918766,100.12667139491927,0.12667139491918755,0.4957075397846571,1000.4507348770089,0.47324792601738325,-198.3375154059728,500.07904498459396,-0.391491821768877,-344.8102685137628,395.25861417403837,0.7010110924331733,-445.09699821428933,201.1883423015177,1.6432550994557438,-504.7086040689191,41.02736383539583,0.7231683064223874,-0.0746120560744572,-193.10450188297622,-2.1811462271804167,-0.023581612450060435,-200.02358161245004,-0.023581612450060463,-0.7319856912764889,-200.73198569127652,-0.731985691276489,-0.48862494566922865,-200.48862494566922,-0.48862494566922887,-0.45617115289187776,-200.4561711528919,-0.4561711528918778,200.4129140389839,500.43225775531766,-0.03827905104509309,343.5933147489289,404.9196971961526,-0.6035807011146161,456.18945624472656,197.59826313562527,2.53736774987462,500.2600999348965,56.402369701134006,-1.849445685713142,2.395688015152697,-193.4988251255612,-4.781290635225763,0.29866811137399324,-199.701331888626,0.2986681113739933,0.028487376941553122,-199.97151262305846,0.028487376941553066,-0.9483855085376898,-200.9483855085377,-0.9483855085376898,-0.5101822003665134,-200.51018220036653,-0.5101822003665134,-149.58243085233033,-98.02361564117835,0.8917954603151689,-149.42175823881797,-447.862943027666,1.052468073827539,-149.60405490469424,-898.0452396935423,0.870171407951287,-0.3323502864566643,-200.3323502864567,-0.3323502864566644,148.97357975354333,-102.49529013205682,-1.455727331567643,148.10189142036057,-453.36697846523964,-2.327415664750385,148.42520971582314,-903.043660169777,-2.004097369287826,-0.7616594645587687,-200.76165946455876,-0.7616594645587687
7,0.07,0.16684415945082215,700.1668441594509,0.1668441594508222,-0.8880814337431668,549.1119185662569,-0.8880814337431671,-1.189686458431985,298.81031354156806,-1.1896864584319853,0.09327406075669631,400.0932740607568,0.09327406075669623,-0.2606532925267456,199.7393467074733,-0.2606532925267456,0.3659273700772579,100.36592737007734,0.36592737007725784,0.32440023045088306,1000.2720227634695,0.2982510878125193,-198.14005302520707,500.28767665976557,-0.25980524303750574,-344.5952360495377,395.1123473338241,0.6304155236915909,-444.93553573968563,200.87880409479357,1.857067829200725,-504.10355203214016,41.27573252131564,1.3354808414100656,-0.34491732182054036,-193.09120020492583,-2.3625985969027905,-0.09268093444945981,-200.09268093444945,-0.09268093444945981,-0.6314706769374893,-200.63147067693748,-0.6314706769374893,-0.30246692325185986,-200.30246692325187,-0.30246692325185986,-0.11518110450646618,-200.1151811045065,-0.11518110450646624,200.31528094858695,500.6127115775555,0.0652296747523746,343.7658189491716,405.488921298017,-0.03905085338010783,456.23116008428997,198.03034449872393,2.8155150281340733,500.0003614082732,56.783054039889166,-1.495409095952156,2.8061005835927535,-193.0417214098017,-4.088702591174681,0.5353675199387039,-199.46463248006125,0.5353675199387039,0.018711541230748086,-199.98128845876926,0.018711541230748086,-1.0571562812521773,-201.05715628125222,-1.0571562812521773,-0.6452529637437545,-200.64525296374376,-0.6452529637437545,-149.29399125086803,-97.47390204811137,1.258924637024892,-149.26728792073692,-447.4471987179803,1.28562796715601,-149.56294389507298,-897.7428546923164,0.9899719928199416,-0.13717153066104582,-200.13717153066105,-0.13717153066104582,148.9015068592875,-102.81382740950605,-1.599110743328674,148.22602698859566,-453.4893072801979,-2.2745906140205063,148.64225731279902,-903.0730769559947,-1.858360289817182,-0.3909935859518752,-200.39099358595186,-0.3909935859518754
8,0.08,0.5576693438519085,700.557669343852,0.5576693438519085,-0.7354519935601744,549.2645480064399,-0.7354519935601745,-0.7995894730411798,299.2004105269588,-0.7995894730411799,0.3314635273153105,400.33146352731535,0.3314635273153105,-0.01635747753306585,199.98364252246694,-0.01635747753306588,0.33972816848309406,100.33972816848313,0.33972816848309406,0.21907551083725002,1000.1593288571562,0.18925852143351313,-197.9043988017002,500.53714451747476,-0.0866678687159469,-344.4818969352369,394.8958820926754,0.477648878702736,-444.8237214002057,200.53878922483827,2.035732196843449,-503.3613526523252,41.65434673550995,2.044983388966724,-0.5986853137384399,-193.07614981698447,-2.5142923752570088,-0.2253532820842361,-200.22535328208423,-0.22535328208423622,-0.5568055966179877,-200.556805596618,-0.5568055966179877,-0.2089508125426004,-200.2089508125426,-0.2089508125426004,0.16363190704087338,-199.8363680929591,0.16363190704087338,200.24841465637036,500.8240583334827,0.20024594729200149,343.97114081615547,406.05776988915756,0.5347592452576229,456.09312229673446,198.31050770316574,2.9293556642511662,499.68174187607406,57.08402957260814,-1.1934805061575195,3.1568804274153828,-192.63147023787837,-3.4048283411479763,0.7117133132420728,-199.2882866867579,0.7117133132420729,0.013633990725658962,-199.98636600927435,0.013633990725658879,-1.0188088376523068,-201.01880883765233,-1.0188088376523068,-0.8245929313465311,-200.8245929313465,-0.8245929313465311,-149.02849438367912,-96.94628429272329,1.6029967870773412,-149.08009304160376,-446.997882950648,1.551398129152688,-149.51962271707652,-897.4374126261207,1.1118684536799441,-0.08649094499065879,-200.08649094499066,-0.0864909449906589,148.66928222365348,-103.2934345599399,-1.9025749682955042,148.38004989001612,-453.58266689357725,-2.191807301932874,148.77325357131113,-903.1894632122824,-1.7986036206378682,0.009508852801591416,-199.99049114719838,0.009508852801591305
9,0.09,0.6868378081479681,700.6868378081479,0.6868378081479682,-0.7393003396953396,549.2606996603047,-0.7393003396953397,-0.355569129350549,299.64443087064944,-0.3555691293505492,0.32283313872104397,400.3228331387211,0.3228331387210438,0.12976895385858772,200.12976895385856,0.12976895385858783,0.13195114764682703,100.13195114764682,0.1319511476468272,0.19274357914156642,1000.125672226198,0.159285403964953,-197.6189742525916,500.83906790511423,0.13966562617248854,-344.54947087258796,394.53099251543927,0.164561809173425,-444.71781221316854,200.21340038517764,2.2228914479886264,-502.7127814058075,41.9351282540169,2.6218077862787514,-0.8447186832012654,-193.07129766900977,-2.64675267266496,-0.20194455784315135,-200.20194455784315,-0.20194455784315146,-0.4871096529787347,-200.48710965297877,-0.48710965297873476,-0.2647491244976097,-200.26474912449763,-0.2647491244976097,0.23994156628691746,-199.76005843371308,0.23994156628691737,200.1363606839995,500.989888388066,0.29048610912422557,344.1205002993668,406.5362142416732,1.027563984772474,455.8378721407497,198.5002545442992,2.940517837111066,499.32284719783047,57.319753752626,-0.9299148846573406,3.3241816954471846,-192.3929974496767,-2.8558278933018304,0.7720731077785673,-199.22792689222143,0.7720731077785674,0.034843609415467255,-199.96515639058453,0.03484360941546716,-0.8751736013845158,-200.87517360138455,-0.8751736013845158,-0.9537639323643421,-200.95376393236432,-0.9537639323643421,-148.73013879669094,-96.38500217458528,1.979744020107574,-148.80769058244206,-446.4625539603365,1.9021922343564495,-149.40984511093959,-897.064708488834,1.3000377058589008,-0.13592947959551105,-200.13592947959555,-0.13592947959551116,148.28325995531975,-103.92773396089842,-2.359706511125534,148.55619285666285,-453.6548010595553,-2.086773609782444,148.7460696382278,-903.4649242779903,-1.8968968282174776,0.3361462014614778,-199.66385379853858,0.3361462014614776
