frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-214.205521,1385.525757,697.864197,-147.685471,1269.513184,728.920898,69.865273,928.693909,776.207458,-36.449223,1090.675903,760.801819,-36.449223,1090.675903,760.801819,-36.449223,1090.675903,760.801819,97.650337,867.873901,778.402588,-135.715012,1217.692749,770.760498,-216.82782,1181.950928,881.904358,-417.606354,992.241882,939.514099,-620.316101,848.017456,821.817749,-598.246338,848.684448,784.150146,-640.625244,825.363098,740.020386,-646.908997,810.637146,753.837036,-651.488586,798.519409,770.931824,-656.121887,786.275818,788.144714,-99.224564,1228.695068,705.158936,-36.844879,1220.007324,577.710938,20.525694,1027.304321,379.734802,-253.733337,1015.773438,399.56897,-251.118744,1038.764282,436.595337,-308.618011,1028.555908,466.208069,-307.797882,1008.137695,460.761749,-304.003784,988.880554,452.112396,-300.202637,969.448914,443.416473,70.632248,858.806763,869.166138,-0.210844,454.576324,974.786987,85.117744,46.264885,1136.318481,-56.178703,-9.318486,1102.666016,124.668419,876.94104,687.638977,99.957832,494.528564,506.733368,147.248291,85.062653,332.972412,21.848604,18.346428,269.643463
1,0.008333999999997843,-214.147095,1385.646729,697.807922,-147.785629,1269.552734,728.720764,69.915932,928.971252,776.383179,-36.508671,1090.824585,760.798401,-36.508671,1090.824585,760.798401,-36.508671,1090.824585,760.798401,97.717247,868.196106,778.620728,-135.813721,1217.821777,770.616028,-216.952057,1182.243286,881.793884,-417.844421,992.659607,939.420532,-620.532776,848.595764,821.490967,-598.38501,849.204773,783.868164,-640.674561,825.82135,739.685547,-646.988159,811.116577,753.511047,-651.604248,799.024719,770.614319,-656.274231,786.807129,787.835754,-99.336456,1228.755249,704.995667,-37.138172,1219.75,577.480774,21.212809,1026.77771,380.053925,-253.034317,1015.789062,400.355438,-250.157181,1038.574341,437.489197,-307.564545,1028.449341,467.308136,-306.854095,1008.056641,461.751556,-303.17926,988.82959,452.984589,-299.498444,969.428223,444.170135,70.667892,859.16394,869.37854,0.542879,454.837708,975.111938,85.129601,46.226799,1136.275879,-56.201279,-9.321619,1102.709717,124.766602,877.228333,687.862854,100.789223,494.728943,507.042297,147.189316,85.295258,332.965546,21.897614,18.415995,269.594604
2,0.01666699999999821,-213.988495,1385.636597,697.722168,-147.79187,1269.427612,728.506042,70.01355,929.081299,776.621887,-36.468216,1090.785889,760.824646,-36.468216,1090.785889,760.824646,-36.468216,1090.785889,760.824646,97.805046,868.386597,778.910706,-135.808044,1217.768799,770.471375,-216.967163,1182.355469,881.686768,-417.988129,992.916565,939.340149,-620.715149,849.025513,821.266235,-598.553406,849.588135,783.651001,-640.831299,826.164001,739.478821,-647.153015,811.476013,753.31842,-651.777893,799.404114,770.433411,-656.456726,787.206604,787.666748,-99.339203,1228.619995,704.832703,-37.331417,1219.249268,577.251526,21.824793,1025.842163,380.491028,-252.363922,1014.787781,401.53183,-249.025665,1037.328735,438.776031,-306.221558,1027.345703,469.045868,-305.677032,1006.983887,463.359406,-302.190308,987.790405,454.443298,-298.698975,968.422852,445.478577,70.711052,859.40271,869.659912,1.006708,455.007996,975.409546,85.096886,46.204716,1136.345337,-56.219658,-9.34989,1102.729492,124.89904,877.370544,688.161499,101.398956,494.84787,507.327423,147.124588,85.462418,332.959045,21.929459,18.444359,269.543945
3,0.02499999999999858,-213.770355,1385.395142,697.644531,-147.71611,1269.074951,728.29248,70.182457,928.976501,776.815613,-36.344894,1090.512573,760.853699,-36.344894,1090.512573,760.853699,-36.344894,1090.512573,760.853699,97.954865,868.386719,779.149231,-135.725143,1217.477051,770.324463,-216.919952,1182.229736,881.566589,-418.090027,992.97052,939.291626,-620.879639,849.25177,821.114685,-598.73407,849.793213,783.489441,-641.034424,826.353821,739.346802,-647.352234,811.673279,753.196167,-651.971313,799.610229,770.31897,-656.644531,787.421753,787.560242,-99.249863,1228.256226,704.67749,-37.430561,1218.416626,577.039856,22.280983,1024.33252,381.11499,-251.826797,1012.666199,402.869965,-247.92572,1034.999634,440.18454,-304.856628,1025.263672,471.028931,-304.516205,1004.926819,465.238037,-301.260864,985.753784,456.191284,-298.002594,966.406921,447.094971,70.816887,859.442383,869.889404,1.330398,455.015411,975.659119,85.102074,46.084614,1136.43689,-56.222969,-9.404607,1102.748413,125.092834,877.331055,688.409119,101.816597,494.827332,507.506012,147.083878,85.488319,332.909027,21.931425,18.389359,269.49472
4,0.033333999999999975,-213.516983,1384.891357,697.470337,-147.629135,1268.480591,728.023193,70.343796,928.690063,776.963013,-36.20787,1090.026245,760.84436,-36.20787,1090.026245,760.84436,-36.20787,1090.026245,760.84436,98.069725,868.233826,779.315918,-135.624542,1216.97583,770.13269,-216.839905,1181.920044,881.420166,-418.170502,992.861877,939.242493,-621.053345,849.301208,821.033997,-598.941956,849.861389,783.389099,-641.282715,826.444885,739.273071,-647.588196,811.757446,753.120789,-652.191895,799.685852,770.241699,-656.849487,787.488708,787.480957,-99.169327,1227.658569,704.458862,-37.493095,1217.365967,576.787964,22.662624,1022.382629,381.895081,-251.329773,1009.435059,404.364899,-247.22583,1031.803711,441.636444,-303.969299,1022.057556,472.821075,-303.64917,1001.715759,467.046143,-300.433929,982.537048,457.997314,-297.215973,963.184326,448.899139,70.919998,859.314026,870.054871,1.377881,454.89212,975.807556,85.101807,45.93256,1136.537231,-56.240761,-9.464778,1102.771484,125.219467,877.153564,688.576965,101.959709,494.696045,507.574127,147.096939,85.397781,332.848145,21.932081,18.326244,269.429871
5,0.04166700000000034,-213.198669,1384.169067,697.294983,-147.496704,1267.647339,727.719666,70.570709,928.190979,777.092529,-36.009663,1089.313599,760.818115,-36.009663,1089.313599,760.818115,-36.009663,1089.313599,760.818115,98.244156,867.875488,779.470215,-135.468109,1216.244385,769.9151,-216.694412,1181.414429,881.265564,-418.213928,992.60321,939.236633,-621.218201,849.21759,821.023743,-599.149292,849.793884,783.354187,-641.540222,826.397644,739.275635,-647.830322,811.704224,753.123962,-652.414917,799.625183,770.24469,-657.053345,787.420532,787.483887,-99.044579,1226.819336,704.206177,-37.629978,1215.964844,576.455688,22.842751,1019.864075,382.785675,-250.977631,1004.885925,406.076355,-246.669006,1027.290161,443.303436,-303.189941,1017.468323,474.866272,-302.871918,997.122864,469.104584,-299.682373,977.942871,460.049316,-296.490143,958.588928,450.944733,71.063499,858.981506,870.202393,1.247801,454.594788,975.909363,85.099991,45.676678,1136.67749,-56.266064,-9.581067,1102.781494,125.424805,876.769531,688.737976,102.077766,494.394836,507.571564,147.169083,85.153908,332.699432,21.933868,18.17622,269.32074
6,0.04999999999999716,-212.802612,1383.243042,697.120544,-147.312347,1266.599731,727.383179,70.83532,927.54071,777.215698,-35.758705,1088.404541,760.781616,-35.758705,1088.404541,760.781616,-35.758705,1088.404541,760.781616,98.436882,867.406738,779.617676,-135.258377,1215.317505,769.672852,-216.489914,1180.729858,881.094971,-418.228424,992.208008,939.246643,-621.394653,849.018677,821.074219,-599.384033,849.611267,783.370789,-641.84259,826.232788,739.348022,-648.110962,811.533447,753.19989,-652.669006,799.447144,770.322632,-657.28064,787.235168,787.563782,-98.876762,1225.769531,703.921082,-37.803814,1214.255371,576.064514,22.804155,1016.791077,383.827667,-250.780884,999.083252,407.953735,-246.263321,1021.518494,445.13736,-302.534271,1011.57489,477.106049,-302.207031,991.227051,471.353058,-299.034546,972.049988,462.285522,-295.859253,952.699036,453.168884,71.227791,858.541687,870.344299,0.990644,454.212067,975.990356,85.109062,45.381187,1136.841064,-56.290321,-9.694297,1102.787354,125.645996,876.27179,688.891052,102.064545,494.013611,507.509216,147.259888,84.841103,332.503967,21.914467,18.002167,269.196564
7,0.058333999999998554,-212.275055,1382.088379,697.019104,-147.027222,1265.313721,727.107056,71.176689,926.685547,777.374939,-35.414234,1087.261475,760.796875,-35.414234,1087.261475,760.796875,-35.414234,1087.261475,760.796875,98.682915,866.760376,779.801208,-134.94635,1214.162598,769.491455,-216.180176,1179.834473,880.992065,-418.199036,991.667419,939.318604,-621.581726,848.717102,821.229553,-599.648865,849.266663,783.480164,-642.215027,825.885803,739.562622,-648.464966,811.20105,753.438171,-652.995972,799.130371,770.579163,-657.580261,786.934204,787.838745,-98.619774,1224.483276,703.688599,-37.998394,1212.257324,575.683472,22.434906,1013.493896,384.734863,-250.855865,992.307556,409.386108,-246.043991,1014.59314,446.622742,-301.973389,1004.342773,479.090027,-301.642365,984.021423,473.244598,-298.501801,964.893738,464.062439,-295.358429,945.592407,454.830353,71.443062,857.930115,870.521851,0.554614,453.684265,976.053284,85.138283,45.004665,1137.044556,-56.302883,-9.836279,1102.787109,125.922783,875.590637,689.080566,101.9048,493.500946,507.401154,147.376038,84.4132,332.269348,21.875381,17.767101,269.066681
8,0.06666699999999892,-211.765884,1380.710815,696.91626,-146.792419,1263.796509,726.86377,71.543831,925.661011,777.504211,-35.077198,1085.909668,760.819458,-35.077198,1085.909668,760.819458,-35.077198,1085.909668,760.819458,98.944679,865.958801,779.949646,-134.659027,1212.783325,769.343506,-215.862656,1178.732788,880.951233,-418.17337,990.952515,939.512634,-621.76178,848.308655,821.407166,-599.884949,848.83374,783.624878,-642.532837,825.471741,739.776672,-648.772278,810.794678,753.665161,-653.286011,798.731384,770.815918,-657.853088,786.542664,788.085327,-98.415886,1222.971069,703.473877,-38.306633,1209.967896,575.303894,21.636896,1009.675842,385.803558,-251.279236,984.548096,410.89859,-246.131363,1006.618164,448.218567,-301.659058,995.964722,481.240845,-301.321533,975.681458,475.264679,-298.216064,956.622864,465.928314,-295.107727,937.390808,456.540863,71.68145,857.161926,870.666626,-0.090115,453.029968,976.037231,85.178505,44.582218,1137.255371,-56.309647,-9.989779,1102.762939,126.207916,874.755676,689.232727,101.566025,492.868408,507.21167,147.511154,83.868088,331.999237,21.801218,17.479151,268.941833
9,0.07499999999999929,-211.174759,1379.135376,696.855347,-146.487473,1262.108643,726.728577,71.963646,924.476624,777.661011,-34.660278,1084.402954,760.911499,-34.660278,1084.402954,760.911499,-34.660278,1084.402954,760.911499,99.240173,865.004333,780.119324,-134.296829,1211.243042,769.295044,-215.465866,1177.44519,881.004761,-418.103455,990.066772,939.723206,-621.939209,847.776367,821.617737,-600.10968,848.256592,783.807495,-642.841187,824.923889,740.025024,-649.080505,810.261169,753.928711,-653.586792,798.211731,771.091125,-658.146484,786.037048,788.372375,-98.152016,1221.303711,703.351807,-38.697338,1207.532104,574.956909,20.486109,1005.318665,387.266571,-251.867645,975.154236,412.917419,-246.545242,997.148315,450.257721,-301.699188,985.998169,483.739166,-301.270172,965.735901,477.698029,-298.112061,946.728149,468.276001,-294.950287,927.54718,458.802277,71.956886,856.240784,870.833496,-1.005612,452.269379,976.001709,85.205299,44.138313,1137.520386,-56.332947,-10.130294,1102.755615,126.523468,873.767883,689.40509,101.015152,492.135284,506.969757,147.658157,83.231064,331.717285,21.700233,17.153545,268.827698
