frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.000000,-622.213074,1631.749023,307.796661,-582.282593,1487.167603,325.584167,-528.114685,1064.838257,359.219879,-544.195007,1264.408447,345.706696,-544.195007,1264.408447,345.706696,-544.195007,1264.408447,345.706696,-524.270691,991.957275,364.967682,-543.993225,1425.450806,358.012482,-458.024323,1430.891968,471.103058,-405.168274,1193.672974,614.469177,-439.841492,944.533447,726.145630,-465.203186,917.032593,703.632202,-453.220581,858.386658,730.171814,-432.597351,862.989014,731.030579,-413.120850,871.955566,731.586975,-393.467987,880.961487,732.150757,-595.141418,1411.796265,303.665649,-677.863586,1384.451904,191.331055,-764.111389,1124.774048,122.416420,-853.395142,866.125061,151.970703,-845.291870,852.031982,192.493393,-870.080444,791.445374,193.935455,-862.308044,787.805298,174.607330,-854.320862,788.647644,154.719177,-846.267334,789.458923,134.665771,-463.188263,1000.887512,437.351471,-531.112061,613.952881,596.237366,-460.548035,175.852890,652.635193,-453.934265,20.484447,654.540527,-585.353210,983.026978,292.583893,-566.541016,560.012695,309.369598,-514.972534,115.724174,303.047760,-629.352417,16.244762,337.801300
1,0.008333,-622.157776,1631.756958,307.702362,-582.280457,1487.165894,325.553223,-528.141174,1064.838135,359.244965,-544.210632,1264.404663,345.715698,-544.210632,1264.404663,345.715698,-544.210632,1264.404663,345.715698,-524.298645,991.960327,364.990662,-544.003601,1425.448608,358.000885,-458.074768,1430.916626,471.120667,-405.203796,1193.739136,614.549866,-439.844757,944.607544,726.254089,-465.178040,917.105347,703.710388,-453.192474,858.453796,730.236511,-432.571777,863.064087,731.113098,-413.099304,872.038269,731.688049,-393.450500,881.051758,732.270447,-595.136597,1411.789795,303.640808,-677.828064,1384.420898,191.289520,-764.021301,1124.723145,122.381226,-853.297119,866.060547,151.840485,-845.192322,851.966797,192.362640,-869.983704,791.381348,193.805511,-862.212463,787.741089,174.476944,-854.226440,788.583191,154.588379,-846.173889,789.394287,134.534531,-463.233673,1000.888000,437.389526,-531.125549,613.934753,596.243774,-460.534393,175.839478,652.644348,-453.931274,20.470589,654.548584,-585.363647,983.032715,292.591766,-566.537170,560.018250,309.358063,-514.963745,115.730225,303.034668,-629.352478,16.262487,337.792755
2,0.016667,-622.101868,1631.770142,307.609833,-582.270874,1487.169434,325.523743,-528.160583,1064.830078,359.277985,-544.220459,1264.403931,345.729797,-544.220459,1264.403931,345.729797,-544.220459,1264.403931,345.729797,-524.313660,991.944763,365.024780,-544.005859,1425.449707,357.991089,-458.108551,1430.946167,471.133423,-405.224670,1193.808228,614.623535,-439.850555,944.686401,726.354492,-465.143311,917.175415,703.775940,-453.148804,858.523132,730.296448,-432.531830,863.145996,731.195801,-413.065552,872.132080,731.793762,-393.423035,881.157654,732.399353,-595.125427,1411.786255,303.619568,-677.791687,1384.393677,191.255447,-763.941162,1124.678833,122.356667,-853.213379,866.003113,151.711945,-845.104492,851.910278,192.233658,-869.912781,791.332031,193.686356,-862.146423,787.687927,174.356537,-854.164062,788.526245,154.466293,-846.115234,789.333374,134.410797,-463.266907,1000.876404,437.438507,-531.154968,613.908630,596.258972,-460.528107,175.817307,652.645691,-453.930786,20.448000,654.540161,-585.360474,983.013184,292.611023,-566.536743,559.995667,309.304016,-515.068848,115.695389,302.985382,-629.476501,16.267658,337.795349
3,0.025000,-622.050293,1631.788940,307.529846,-582.262817,1487.178955,325.507019,-528.184265,1064.837158,359.307953,-544.235107,1264.407715,345.747070,-544.235107,1264.407715,345.747070,-544.235107,1264.407715,345.747070,-524.332947,991.955261,365.054871,-544.011780,1425.454712,357.992523,-458.150055,1430.978271,471.160583,-405.245483,1193.876221,614.702332,-439.847412,944.758789,726.450012,-465.094757,917.229980,703.842285,-453.087738,858.585754,730.374878,-432.475220,863.223572,731.297607,-413.016083,872.223694,731.917725,-393.380768,881.263428,732.545776,-595.115845,1411.789917,303.606812,-677.748352,1384.375122,191.223297,-763.841248,1124.637329,122.341179,-853.109985,865.947449,151.581406,-845.015991,851.855286,192.106323,-869.808350,791.270142,193.545227,-862.031982,787.628967,174.218857,-854.040649,788.470215,154.332352,-845.982788,789.280273,134.280624,-463.303589,1000.891418,437.482758,-531.167480,613.905396,596.268921,-460.512817,175.817184,652.644775,-453.929260,20.447372,654.541138,-585.362244,983.019165,292.627014,-566.503418,560.001526,309.277222,-515.072083,115.696640,302.985840,-629.470581,16.257896,337.794678
4,0.033333,-622.007751,1631.800293,307.447723,-582.264832,1487.176758,325.475311,-528.210144,1064.831421,359.333374,-544.254211,1264.398804,345.753906,-544.254211,1264.398804,345.753906,-544.254211,1264.398804,345.753906,-524.356140,991.952148,365.081604,-544.025696,1425.447266,357.980347,-458.199615,1431.000854,471.173950,-405.287048,1193.933594,614.770203,-439.839233,944.826721,726.557068,-465.054626,917.281189,703.934082,-453.031036,858.646179,730.479431,-432.421875,863.296265,731.416016,-412.968536,872.308044,732.048828,-393.339081,881.359497,732.689697,-595.114136,1411.778687,303.580780,-677.708496,1384.337524,191.175766,-763.745056,1124.575073,122.316345,-853.012207,865.877075,151.490631,-844.921814,851.787292,192.017044,-869.724060,791.206238,193.460526,-861.947632,787.562073,174.134735,-853.955505,788.400208,154.248398,-845.896912,789.207275,134.196854,-463.341644,1000.892273,437.521484,-531.186646,613.891357,596.279602,-460.506500,175.806290,652.647705,-453.926300,20.436197,654.532898,-585.370605,983.011963,292.641724,-566.478455,559.994324,309.254486,-515.068604,115.686745,302.977661,-629.474548,16.258955,337.793152
5,0.041667,-621.947266,1631.816040,307.360046,-582.255493,1487.186646,325.455444,-528.243042,1064.854492,359.367004,-544.270874,1264.407349,345.771210,-544.270874,1264.407349,345.771210,-544.270874,1264.407349,345.771210,-524.390625,991.989929,365.115662,-544.031311,1425.457275,357.978821,-458.236755,1431.028687,471.195435,-405.306213,1193.998779,614.846619,-439.796600,944.906311,726.684692,-464.994781,917.353882,704.050964,-452.955383,858.720032,730.591797,-432.348297,863.378113,731.534729,-412.898743,872.397461,732.174133,-393.273041,881.456665,732.821716,-595.105225,1411.786865,303.566101,-677.674011,1384.326538,191.146881,-763.657898,1124.543213,122.300369,-852.915710,865.833740,151.401306,-844.831482,851.742432,191.928467,-869.631104,791.160217,193.365051,-861.851318,787.517334,174.040405,-853.855896,788.356812,154.155441,-845.793945,789.165100,134.105286,-463.392334,1000.931152,437.569092,-531.203674,613.905701,596.281860,-460.498810,175.823715,652.642944,-453.922668,20.453497,654.534729,-585.388916,983.048706,292.662262,-566.453247,560.034241,309.304901,-514.938049,115.738716,303.037659,-629.325989,16.263723,337.777405
6,0.050000,-621.898804,1631.843262,307.271210,-582.249512,1487.196167,325.433289,-528.282043,1064.853271,359.388489,-544.289612,1264.401489,345.780579,-544.289612,1264.401489,345.780579,-544.289612,1264.401489,345.780579,-524.432556,991.994263,365.137787,-544.037903,1425.452393,357.973938,-458.277771,1431.037842,471.215973,-405.325653,1194.052368,614.932556,-439.741852,944.977478,726.832947,-464.919678,917.412292,704.192078,-452.859222,858.784729,730.737427,-432.254730,863.453064,731.686462,-412.809814,872.481995,732.331604,-393.188782,881.550903,732.984863,-595.098145,1411.782104,303.548370,-677.646179,1384.303955,191.118286,-763.594543,1124.504761,122.286438,-852.843140,865.786072,151.332596,-844.769531,851.689392,191.859985,-869.554138,791.100647,193.276794,-861.766724,787.463196,173.954208,-853.764465,788.308350,154.072189,-845.695740,789.122314,134.025009,-463.452362,1000.934570,437.606537,-531.234863,613.890686,596.286682,-460.492554,175.813583,652.638977,-453.922852,20.443068,654.526428,-585.412720,983.053833,292.669037,-566.461182,560.039734,309.304291,-514.922424,115.747002,303.034058,-629.318237,16.280218,337.771423
7,0.058333,-621.866089,1631.856567,307.203369,-582.249084,1487.202393,325.420013,-528.319336,1064.852173,359.417023,-544.311951,1264.401123,345.793640,-544.311951,1264.401123,345.793640,-544.311951,1264.401123,345.793640,-524.470398,991.992615,365.169128,-544.050232,1425.452881,357.975464,-458.314026,1431.049194,471.235046,-405.337982,1194.103149,615.007629,-439.676788,945.048218,726.976135,-464.835480,917.463745,704.337524,-452.752411,858.850159,730.903320,-432.150482,863.528992,731.855957,-412.710205,872.567749,732.503052,-393.093750,881.646545,733.158264,-595.097412,1411.782837,303.537598,-677.617859,1384.290771,191.090683,-763.533875,1124.480225,122.262161,-852.774353,865.755920,151.283081,-844.718079,851.655334,191.812546,-869.484863,791.058594,193.206451,-861.685852,787.426697,173.887451,-853.673279,788.277466,154.009872,-845.594055,789.097168,133.967148,-463.506805,1000.935425,437.651550,-531.274658,613.879578,596.308594,-460.483429,175.807678,652.640259,-453.920837,20.436943,654.536682,-585.433960,983.049683,292.686737,-566.458801,560.035339,309.288147,-514.930115,115.741432,303.017517,-629.332825,16.288086,337.770447
8,0.066667,-621.842407,1631.839478,307.109955,-582.250549,1487.195679,325.392822,-528.358093,1064.854858,359.449890,-544.337952,1264.402222,345.803497,-544.337952,1264.402222,345.803497,-544.337952,1264.402222,345.803497,-524.509766,991.996338,365.205231,-544.068359,1425.455322,357.967072,-458.361511,1431.063477,471.248260,-405.376587,1194.150146,615.071533,-439.608154,945.117859,727.123047,-464.755463,917.509644,704.500732,-452.642761,858.915771,731.096497,-432.043030,863.604736,732.045105,-412.606934,872.653076,732.686035,-392.994751,881.741455,733.335144,-595.098694,1411.782959,303.514008,-677.588013,1384.282715,191.046204,-763.474670,1124.461060,122.222786,-852.702637,865.731934,151.240326,-844.663269,851.630859,191.772964,-869.409546,791.025391,193.148560,-861.598938,787.397766,173.833466,-853.575806,788.252930,153.960297,-845.486023,789.077148,133.921997,-463.563446,1000.942261,437.701752,-531.315918,613.871216,596.328491,-460.480682,175.803131,652.633972,-453.924561,20.432114,654.529419,-585.456116,983.050476,292.708710,-566.455017,560.036316,309.283997,-514.922913,115.742714,303.015259,-629.327087,16.292295,337.771942
9,0.075000,-621.854736,1631.819458,307.008698,-582.269287,1487.184692,325.366852,-528.398987,1064.853882,359.491608,-544.368896,1264.394409,345.821564,-544.368896,1264.394409,345.821564,-544.368896,1264.394409,345.821564,-524.552002,992.001770,365.250122,-544.099915,1425.449219,357.962860,-458.424377,1431.076538,471.266846,-405.419891,1194.197876,615.140198,-439.540131,945.183655,727.265747,-464.671783,917.553528,704.652832,-452.534882,858.977173,731.276184,-431.937439,863.676331,732.225220,-412.505676,872.734009,732.864502,-392.897858,881.831909,733.511841,-595.111694,1411.770386,303.493988,-677.563232,1384.259766,191.001022,-763.427002,1124.428467,122.185257,-852.656982,865.700745,151.208694,-844.634949,851.604248,191.746384,-869.380066,790.998169,193.117645,-861.560852,787.368713,173.806366,-853.529236,788.221985,153.936615,-845.430664,789.044250,133.901764,-463.623627,1000.950684,437.761353,-531.351807,613.862183,596.355530,-460.467804,175.798920,652.637451,-453.921936,20.427509,654.535339,-585.480408,983.052856,292.738861,-566.459351,560.038940,309.298859,-514.906494,115.747841,303.026611,-629.317688,16.300753,337.769470
