task_id,upload_ms,score_ms,total_ms,timestamp
b4a0530a,6,1468,2989,2026-05-19 11:24:04
bdc05f2d,26,5244,10658,2026-05-19 13:46:57
e8b3ec8c,18,1973,4563,2026-05-19 14:09:08
586937d4,16,12676,15022,2026-05-20 16:56:18
39ec0a7c,38,2824,6759,2026-05-22 12:03:37
750eebb5,52,2585,6040,2026-05-22 15:04:04
0f7523bd,42,1980,4813,2026-05-22 15:04:46
45750a4c,89,17911,23402,2026-05-22 15:16:29
a56c2f14,135,20878,24159,2026-05-22 18:33:21
a8ee8a48,57,10217,13089,2026-05-22 18:41:46
dd11db78,6,1216,2869,2026-05-24 15:05:16
eaee6497,26,9795,12040,2026-05-24 15:24:43
bdda9ede,69,13919,15564,2026-05-24 15:26:21
bbe7cf94,19,13466,15203,2026-05-24 15:32:43
3ccf08f6,19,11486,14750,2026-05-24 15:42:38
d8478673,15,13444,15553,2026-05-24 15:52:41
f9dcbc78,82,16364,17815,2026-05-24 15:53:33
174fc9e6,168,23304,25179,2026-05-24 16:00:38
ad0a4efa,12,12014,12998,2026-05-25 15:44:27
e4045f30_ceni,336,0,336,2026-05-25 15:48:16
