frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-0.9421576245936991,699.0578423754063,0.587952947437903,-0.12459361138182024,550.1836245683772,0.18362456837705066,-2.669636233494053,297.33036376650614,-0.877938435516746,-1.768255196120914,398.2446193094238,-1.7682551961209143,-0.5071296885556881,199.49287031144448,-0.5071296885556882,-0.49570400030728945,99.50429599969274,-0.49570400030728917,2.9307669777334104,1002.8835125807394,2.9071441472015946,-217.4338777577463,499.2225433047259,-1.2733529616516377,-325.4513313104436,392.5628628469369,-8.932608143146478,-461.2622237714291,160.24073757357567,-9.914069831095828,-497.7022736377173,62.20619294580121,-12.019189247228969,12.111128827353104,-173.65352167518355,-26.142192122109048,-2.6112413261815806,-202.61139251031966,-2.6112413261815806,-2.3801030607427354,-202.48575300795105,-2.4857530079510686,-2.8758420613556703,-202.55218551541884,-3.328419017977373,-5.276533825289513,-205.2765338252895,-5.276533825289513,209.81254319376495,497.54617102243617,-2.949725243941423,330.904847996126,361.52944168969964,1.6689938917359846,429.8892090797094,175.0170180358906,15.92479891744411,513.1665500497786,73.14227356592457,7.226414461809682,18.43145159658753,-211.02368589807057,18.796665083278043,0.6314297088570376,-198.18746091678136,2.182922309996382,-0.2841668947762749,-200.28416689477626,-0.2841668947762741,-3.6645875990002104,-203.66458759900024,-3.6645875990002104,1.9935118444492725,-197.5576768065239,-1.2801071585484547,-151.5763878693938,-101.68547593671195,-2.813802322541177,-152.2461706299688,-450.6212327444266,-0.39722917089008875,-154.53557840143935,-902.9173563869253,-4.0390660463510795,-2.591732726354494,-202.59173272635448,-2.591732726354494,142.22783107581802,-109.3024988711114,-7.433331027116664,146.54346268979916,-455.5258563147595,-4.444793061854689,145.4171798094781,-906.1131501374514,-5.032086884546535,-3.3488439706656195,-203.3488439706656,-3.3488439706656195
1,0.01,-1.2105471815335695,698.7894528184664,0.2106075655831991,-0.6330007458261336,549.944265430986,-0.0557345690142127,-2.436955444955074,297.5630445550451,-1.0197197140943444,-1.9602177442705022,398.0719469900838,-1.9602177442705027,-0.5628730882408459,199.43712691175932,-0.5628730882408458,-0.3311130809210783,99.66888691907897,-0.3311130809210783,2.858737696310619,1002.7962317466415,2.82749277528701,-217.30292445204725,499.8231388395365,-0.8326669194990273,-326.0838832097443,391.92559884829836,-8.36675945802141,-461.932982395347,159.98861917510206,-9.232816330731746,-496.2363308080023,62.20407821075929,-10.68392426002126,13.063389781344915,-172.5074238946699,-25.722474845164236,-2.6915816354308664,-202.69256747984923,-2.691581635430867,-1.9603311690317458,-202.22427936298283,-2.2242793629828803,-2.698836330488254,-202.3466170001894,-3.0355488124635577,-4.8767675588514,-204.87676755885138,-4.8767675588514,209.3014605777454,497.55380744533306,-3.1019983137024782,331.74392370074577,361.37379601251314,2.253720464495734,428.9776043407533,175.40064738613324,15.481665844090195,512.7140555675724,73.9830852249074,6.82732202720893,18.855460667892686,-211.14939484937173,19.33286075498078,0.018763019122734592,-198.69022224784425,1.2459710122009,-0.562154680873929,-200.5617509832693,-0.5617509832692835,-3.315431883751539,-203.31543188375156,-3.3154318837515393,1.0295042378290922,-198.32630716869846,-1.5598805931531414,-151.35667057490446,-100.75655745192444,-2.2501458130865384,-151.92721076678487,-449.77659488066485,-0.06692344296078279,-154.1390551926428,-902.0105587632165,-3.482115867644993,-2.135266845402192,-202.13526684540219,-2.135266845402192,142.93721123978543,-109.08830454703627,-7.033859019276466,146.49147079249417,-456.12318841275055,-4.692122108879394,145.4959142444993,-906.5296015423226,-5.098535238451271,-3.143821887574616,-203.14382188757457,-3.143821887574616
2,0.02,-1.7037926077530856,698.296207392247,-0.5096333931702717,-1.2840520000792637,549.762501691962,-0.23749830803809177,-2.0093734246939636,297.9906265753062,-1.122915689211137,-2.2786491859138462,397.79736113663375,-2.2786491859138467,-0.6807976104640858,199.31920238953603,-0.6807976104640857,-0.23187232833840343,99.76773942281187,-0.23226057718816184,2.7436530733606803,1002.6538506779585,2.698768390284122,-217.41444473384254,500.5514134693078,-0.39047305614535965,-327.3187726967867,390.793534560867,-7.33909646230293,-463.3066008769795,159.3701133007478,-8.178545328791785,-493.9941136382695,61.8299801532024,-8.651969306497374,14.650590085072468,-170.54922910726344,-25.028854761926745,-2.7897624939108328,-202.7947690249729,-2.7897624939108328,-1.2605110980327416,-201.88426216456145,-1.8842621645614384,-2.3781689623473845,-202.02448396805983,-2.5457949158541404,-4.20767588400434,-204.20767588400435,-4.20767588400434,208.44046724736305,497.62493715958476,-3.316949365868488,333.2351680129987,361.08731522152596,3.299578652730545,427.6798185767948,176.41418911422375,14.994410935600861,511.68433921948844,75.26414290812295,5.907128258175,19.417962111940504,-211.52798021219246,20.108586757141126,-0.8761187291684666,-199.55199282664776,-0.10866794081769798,-1.1519762804038118,-201.1493438413446,-1.1493438413446122,-2.906448574492147,-202.90644857449217,-2.906448574492147,-0.5219700891009706,-199.62794038910107,-2.1412762222824737,-151.0707225727934,-99.18532737447855,-1.3335331127522818,-151.26731929032962,-448.174840850244,0.6027457013861041,-153.18846181984236,-900.1633979992163,-2.24425688883104,-1.5912928068120507,-201.59129280681208,-1.5912928068120509,143.88098806389974,-109.03181781458076,-6.583609038763625,146.30598476424933,-457.2110745287532,-5.152704215130955,145.54198862612088,-907.3708172523598,-5.31244693873734,-2.8797204401127523,-202.87972044011275,-2.8797204401127523
3,0.03,-2.2289828196552524,697.7709781662073,-1.3557845452828863,-1.5314925534503645,549.9862997472918,-0.01366123857082513,-1.4246344558604758,298.5753265300022,-0.9858752701352521,-2.534851451225017,397.60696892948226,-2.534851451225017,-0.8399226309122257,199.16003835495042,-0.8399226309122254,-0.3104614362171322,99.68696784912251,-0.3129931367400831,2.5738253676059983,1002.4492711815876,2.5115604816886847,-218.01331873915177,501.0280832776336,-0.2781126844776083,-328.9245808690498,389.4620148693923,-5.927190608060125,-465.2733818816713,158.37756414368525,-7.092660710980386,-491.77530339949726,60.744827033029566,-6.6496177531442715,16.298324696203682,-168.36791213297317,-24.352597163901816,-2.787627437368732,-202.8074676659723,-2.7876274373687315,-0.4601186428753795,-201.62427518560568,-1.6242361714682512,-1.8775354861598466,-201.60421031864598,-1.905880412482777,-3.4061539822448146,-203.4061929963823,-3.406153982244815,207.602249737655,497.9826616684623,-3.323534293648958,335.1846659109276,360.777451149222,4.655285974714275,426.6617434272366,178.3263800395015,14.949074582436465,510.0725414889533,76.58759261720613,4.463836448660995,19.754106254182762,-212.30017581788238,20.7425084587967,-1.5437042893144233,-200.41029675168855,-1.1645973751500622,-1.8462633324130648,-201.83293371791805,-1.8328947037806143,-2.7270884482829008,-202.72712746242038,-2.7270884482829003,-1.982803868753979,-200.97543486667985,-2.7827270979423577,-150.72592069848966,-97.22412180788137,-0.20873995205616114,-150.32200064085947,-446.0266656242818,1.5865807390857989,-151.56317359202734,-897.4294385772147,-0.25250003001505017,-1.3000966717843663,-201.30013568592182,-1.3000966717843663,144.55103960378682,-109.49514373036324,-6.4425309834329125,145.9681053937178,-458.5953164807988,-5.735276936826356,145.4616590210326,-908.5845243131175,-5.724484769145062,-2.6710354319876815,-202.67107444612512,-2.671035431987682
4,0.04,-2.4870939773924725,697.5126516184743,-1.9515349367874948,-1.065962578082885,550.653057678171,0.6533120823043072,-0.7404113102299321,299.2593342856367,-0.56599632041668,-2.486373117612128,397.7197766798364,-2.4863731176121284,-0.9901204752230424,199.0096251206436,-0.990120475223042,-0.31311432374067605,99.67377423599373,-0.3259713598728695,2.2844444243607667,1002.1216729985222,2.2029876883410195,-218.86961394342416,501.38395355492037,-0.32403368515538383,-330.4816723182753,388.2035511767109,-4.195001931624674,-467.4850118763435,157.25836714493798,-6.061372533382034,-489.9561900139495,58.976620322446294,-4.989311269511597,17.408408685548157,-166.55450452658505,-24.005865255345196,-2.53793929045521,-202.59918572901628,-2.53793929045521,0.27689167123802405,-201.4171437426046,-1.4168893384711627,-1.1069988872363976,-201.01101787461235,-1.0703339037020312,-2.487954562045396,-202.48820896617883,-2.4879545620453962,207.23386894799893,498.9469858387058,-2.760888140617875,337.4524900641924,360.5613023215328,6.155596581707655,426.26851240050087,181.14399227058226,15.537627015611552,508.09417671129097,77.84273241412181,2.7132679493824123,19.660942306746534,-213.4806147433603,21.016257705170364,-1.5999307722445213,-200.8280892337122,-1.4521804531516747,-2.230783944095131,-202.17816439630695,-2.177909992173557,-2.7762987181926375,-202.77655312232605,-2.776298718192638,-2.723034688876292,-201.83402316019283,-3.0348832044693546,-150.09751249894484,-94.9034804298588,1.1845887241783715,-149.2960551746588,-443.66789349268663,2.753108162049397,-149.44191556077908,-894.115603870527,2.2741595784160227,-1.3490412160056204,-201.34929562013903,-1.3490412160056204,144.78013201177154,-110.52246446235941,-6.697977602459945,145.62565299789057,-460.0292827883907,-6.279847981415264,145.25959354883557,-910.0430029252955,-6.293568118320027,-2.471856668525743,-202.47211107265915,-2.471856668525743
5,0.05,-2.3239127568692792,697.6747952723365,-2.055957659452107,-0.10179690639279357,551.4141656852969,1.4154576560910859,-0.030144517087086098,299.96856351211875,0.03391936942316992,-2.018850383696826,398.2137442472379,-2.018850383696826,-1.0846912786338334,198.91401675057196,-1.0846912786338332,0.21921985703661237,100.16707732191023,0.1683692927044249,1.8383526154182073,1001.636852785005,1.73704943822265,-219.53967435868756,502.0160963460971,-0.10610393045089583,-331.70814828485874,387.0035514675543,-2.3586261962331907,-469.5008343171772,156.38996197755463,-4.903506854984899,-488.4375105685024,56.882326190656485,-3.531180543656903,17.686373101569878,-165.3819141069714,-24.09570863154528,-1.9239802923625617,-202.07158454767404,-1.923980292362562,0.7967049058080307,-201.12389239597212,-1.122600425177901,-0.0746857985394474,-200.24005568866158,-0.03334536445055547,-1.4232751769317888,-201.42456714772604,-1.4232751769317888,207.54885785482747,500.65411131399344,-1.4673504096769374,339.841529761284,360.3982145146895,7.584198756852797,426.35157020023325,184.5121718555818,16.518499960517865,506.00085757258853,79.10672739477289,0.9039066839439689,19.151127836810637,-214.94670510418223,20.930863284753936,-1.0354874141122519,-200.62456584763103,-0.9901203522852832,-2.138068243445181,-201.97649697666168,-1.9752050058674668,-2.802565946559489,-202.80385791735375,-2.802565946559489,-2.592117674136065,-201.98190545598544,-2.6883401693732933,-149.00682861429914,-92.19407011307345,2.930599380883174,-148.44943641205205,-441.4368632003476,3.898476042645184,-147.36085611607206,-890.78744867954,4.7755079425831966,-1.6858905391433787,-201.6871825099376,-1.6859513644029258,144.71530557102403,-111.89425882311016,-7.19540723461549,145.50562057954807,-461.2920539005959,-6.616247210725822,145.02879935427464,-911.5807650398597,-6.9049583499895135,-2.1437598644557,-202.14505183524992,-2.1437598644557
6,0.06,-1.8806200280556515,698.1142701283295,-1.7732898447242964,0.8580529067752289,551.8957358571522,1.9008457007670865,0.6719532170685244,300.66707437635006,0.7128414573656469,-1.2091533986419787,398.99214095932496,-1.2091533986419787,-1.1017060508655263,198.8931841055196,-1.101706050865526,1.4994141416036206,101.33767353295576,1.3427833765706265,1.293078092374052,1001.055335556999,1.1717961780307724,-219.85532088941957,503.05304358128626,0.5172546705420956,-332.7199689804304,385.5918983451792,-0.7622699372931814,-471.06193157045584,155.9983979577343,-3.435639260215101,-486.94524869955455,54.84904694034533,-1.9803398092969031,17.30754093399925,-164.68802032997613,-24.407449632087797,-0.9703379609517847,-201.24879513863874,-0.9703379609517846,0.9661444573412787,-200.7327463959828,-0.7276365523679081,1.0234281221562416,-199.4523585854586,1.0474211688027235,-0.3690405579760021,-200.3741504015909,-0.3690405579760021,208.35203240053318,502.8702985005017,0.338260270750939,342.0861862496817,360.0951783464524,8.770828793061444,426.4641729105812,187.8864193916372,17.401708212982594,503.88937907750926,80.41953548483696,-0.8732822388853807,18.318594110987036,-216.5602911001552,20.571668209057783,-0.17683229134220002,-200.01028334189516,-0.16587375951579353,-1.9089639663558082,-201.52338521305,-1.5182753694351365,-2.6312389050345546,-202.63634874864943,-2.6312389050345546,-1.9416232990451614,-201.61928598565652,-1.9667187082258273,-147.55520622417396,-89.22561782660563,4.927127600974476,-147.91945915911958,-439.5069639147042,4.889416089734855,-145.8772774537813,-887.9624148000023,6.683544634504424,-2.2005036780701146,-202.205613521685,-2.2009003085855703,144.57072352381303,-113.3662837020425,-7.741968180562064,145.6729232132128,-462.34261685519675,-6.72386788894039,144.90710026600655,-913.0299069598492,-7.4111579935926155,-1.6174169699628587,-201.62252681357774,-1.6174169699628587
7,0.07,-1.4179920265728012,698.5662685470295,-1.383939862260594,1.5046223165722346,552.0470496507359,2.062800851091814,1.3012307548844517,301.2869976565899,1.357453125920247,-0.21205300535479313,399.914066963092,-0.21205300535479316,-1.0528523578686295,198.93139193880558,-1.052868634796627,3.173878138484164,102.78240103957356,2.7981404659713482,0.7862416128498524,1000.5191427175474,0.6450362426026877,-220.0037495330638,504.219542068117,1.2788792193782323,-333.86645733948683,383.78855347439014,0.4057865689355934,-472.22046373389884,156.0133691123605,-1.6953795988108116,-485.3542188878155,53.00506059682026,-0.20176181125160708,16.77948175727919,-164.06345487692232,-24.53458577154536,0.046397539409275046,-200.36705991127215,0.04639753940927538,0.7059324358422573,-200.47413808837194,-0.4581850927506138,1.8662149455841555,-198.88757261034985,1.8757065820362646,0.28560510530772265,-199.73013432109008,0.28560510530772276,209.14445958446674,505.0740870302461,2.1482584125998483,344.0082860212616,359.5009490605754,9.722771232421378,426.15731262641407,190.77693817798533,17.721532750744217,501.6979314615387,81.69069617437708,-2.6875099798254,17.21126990016741,-218.2659507363457,19.97928599234441,0.5756116874027204,-199.38439828828382,0.5776910236633508,-2.0510280245677923,-201.3368650591537,-1.32112563275588,-2.363723977869224,-202.37946340426703,-2.363723977869224,-1.2135581311566155,-201.0927688652722,-1.2240231324816406,-146.05602840662442,-86.28817125681077,6.902296448088143,-147.68223949000537,-437.869496481842,5.701896487550776,-145.11301020105446,-885.7394245509954,7.872735593567173,-2.6989809795014765,-202.7147204058993,-2.7009952354618925,144.4490659803949,-114.82947849748803,-8.253212842815048,145.84437342446242,-463.46089275659835,-6.885683332842763,144.97022818416065,-914.3083162937223,-7.733106869966683,-0.9745321670498859,-200.9902715934477,-0.9745321670498859
8,0.08,-1.0385904300244753,698.9232970876503,-1.0301143621233089,1.88333569593169,552.0782572979299,2.1160909949084004,1.6540069309999121,301.6238997751885,1.73809353372599,0.8353475205640477,400.87352246177056,0.8353475205640477,-0.9781861408647514,198.9839507991051,-0.9782922797680584,4.495402842318823,103.75567553346495,3.7934324545917635,0.4677171887349679,1000.1828421799833,0.30670544595478805,-220.22131560532577,505.1593278827304,1.828497918427976,-335.3530104851431,381.71991231335835,1.278689431336569,-473.1828485046061,156.21617310714382,0.13473472955533347,-483.8198627941479,51.147483398595725,1.6540595150953914,16.603052101981287,-163.15402093584464,-24.13648846840358,0.6646380184863001,-199.82379246661435,0.6646380184863003,0.03461594096341136,-200.627640900629,-0.588384555080341,2.1761138725721634,-198.7114165938832,2.178837740309401,0.21976914445473228,-199.8179877766721,0.21976914445473228,209.41028705935827,506.72875606250636,3.4436187467559995,345.60722131521584,358.624895126069,10.549007879308114,425.14345143299477,192.88274733696693,17.183978954318622,499.3115897310623,82.74797301326558,-4.66188907614211,15.801211144310951,-220.09857062739292,19.118519121600617,0.9750665146237383,-199.04859979471087,0.9753429919897492,-2.6445476365745986,-201.62030284410582,-1.5825459229789762,-2.213272775567288,-202.25102969669416,-2.213272775567288,-0.5812420568903919,-200.57466135164972,-0.5964049252482362,-144.82344839509713,-83.6796629142902,8.578005295444836,-147.6256283633787,-436.4194506476936,6.351384363356949,-144.7093068827433,-883.804956948265,8.700601030320046,-3.019951796856335,-203.0577087179832,-3.0279183337193785,144.27672239391123,-116.35970515861963,-8.811166001671829,145.52532052648155,-465.1245877203515,-7.575689852830612,145.11304068936852,-915.5233868631624,-7.97498814715596,-0.3914273185943654,-200.42918423972122,-0.3914273185943654
9,0.09,-0.6554064837254052,699.2717357507531,-0.6537665831113277,2.1768861373031156,552.1818865786768,2.252815693883715,1.5449665518407414,301.50468274531505,1.6614744505742114,1.7958955295291368,401.7570094237592,1.7958955295291368,-0.9041009438140064,199.02482082309862,-0.9046399616411462,4.863809754975808,103.77190965225651,3.842448867516726,0.4100314210413645,1000.1183853304053,0.22935727508765147,-220.57861193224306,505.7448053321068,2.038572241081595,-337.10409907870246,379.6770070594966,2.145936577246229,-474.0457274145691,156.50497649355074,1.9663005150868424,-482.6650192323931,48.93804887463654,3.2669898259556227,16.981452909639213,-161.82254203552947,-23.09375632384654,0.5698511948952002,-199.8984060446487,0.5698511948952004,-0.8842982211301601,-201.2216600183067,-1.143352080711914,1.89959505737081,-198.9235162145544,1.9001811066920606,-0.47256047952874203,-200.54309969478902,-0.47256047952874203,208.92529889313744,507.5951092184624,3.9984870931648464,346.9850740112884,357.5796761947812,11.278411840718126,423.39887726791574,194.19352611471425,15.761969825755262,496.7020140683868,83.49102450045028,-6.832519433246032,14.014854605304771,-222.1382569596437,17.908131591333824,1.0178890948813444,-199.04987551440627,1.0178890948813446,-3.1622821313880864,-202.02941574773314,-1.9588765324728887,-2.170607556981681,-202.24114677224196,-2.170607556981681,0.048489406586139566,-200.01082139608997,0.02125130244960817,-144.02217412465632,-81.56037662492372,9.808835838294758,-147.54881091615732,-434.9554910350272,6.925181243456456,-144.25619641483632,-881.8245545621005,9.576229130767283,-3.176366625911175,-203.2469450599367,-3.2009052869842494,143.8446761235017,-118.16523023933638,-9.627342795302745,144.47307701230264,-467.56726173914126,-9.02611941836815,145.11969517770095,-916.8902111851371,-8.352323741103497,0.0033880358377453845,-200.06715117942255,0.0033880358377453845
