frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-97.8521567149809,639.8058783633386,-57.30892381796824,-57.9793216368665,495.2131423774986,-39.44850889275473,-3.845242729586615,72.88061608221201,-5.746940324095726,-19.913718444637322,272.4500712568881,-19.27937257006131,-19.913718444637322,272.4500712568881,-19.27937257006131,-19.913718444637322,272.4500712568881,-19.27937257006131,-524.2976061302218,991.9559663566463,364.9993806943387,-19.7044816299005,433.49429104406704,-6.99779098562602,66.22167637392081,438.96718428599786,106.1237511343671,119.09494271521714,201.79458344794102,249.56027726169043,84.45385421440636,-47.33536597278929,361.2681270963805,59.131527556467475,-74.8434498035572,338.7193111581786,71.12181792408239,-133.4914833303563,365.25097477301614,91.7414082710356,-128.87716930171533,366.1324412304307,111.21199184431563,-119.89923844682278,366.71184674841413,130.85887656958357,-110.88189398635289,367.29878695994194,-70.83555036067946,419.8351580887447,-61.35958177035921,-153.5231541762388,392.4629157919029,-173.71287379511583,-239.71083467982152,132.76219847721,-242.6167052243793,-328.98771292403876,-125.9021940036581,-213.17664641621897,-320.8845725718271,-139.99521948765957,-172.65389369176182,-345.6785758257516,-200.57956105315708,-171.21001058802037,-337.9069973607185,-204.22070557239562,-190.53827867659913,-329.9203517354251,-203.3794505181165,-210.42666868413826,-321.86726008408573,-202.56927999705104,-230.48031503167272,61.06205395464044,8.930787729353497,72.40092681431942,-6.835610298541837,-378.0239718116502,231.24896891900602,63.762766135257124,-816.1190628343853,287.6419057796091,70.36578482700052,-971.4880097220755,289.5431509493259,-61.06210156853709,-8.930777557276272,-72.4009387938001,-42.23456418123093,-431.9461447997587,-55.65891334754761,9.297759124334247,-876.2389765382826,-61.97544880805626,-105.09269455447023,-975.6996468577349,-27.20298223148125
1,0.008333,-97.82410189779449,639.8107166940857,-57.35288343481288,-57.9688814928094,495.21421725315173,-39.46932407545516,-3.8461149259150114,72.88032364070594,-5.747005830676152,-19.910833800337468,272.4494208005386,-19.285590150179853,-19.910833800337468,272.4494208005386,-19.285590150179853,-19.910833800337468,272.4494208005386,-19.285590150179853,-524.3058875543959,991.9562571639815,365.0104203919573,-19.698832162824075,433.4942125695884,-7.011457119658576,66.21419836532047,438.9771955139458,106.11956569125257,119.0931466001935,201.81897158322164,249.5777780054422,84.4636743146813,-47.307706755793845,361.29652375801106,59.1547878158663,-74.81981604613213,338.73754399976855,71.1490396650274,-133.4669775513293,365.26935882265,91.7673304791075,-128.84823797761976,366.15794452068917,111.2357681951022,-119.86611837715742,366.7443727357397,130.88048580525165,-110.84454907202175,367.33839874413536,-70.82437135319044,419.8338447076743,-61.37813749140582,-153.5005701013917,392.4528193487696,-173.7376839740357,-239.6689407750793,132.74442150539346,-242.63667012523297,-328.94404868480603,-125.92466009776842,-213.23247538257448,-320.8422219715837,-140.0175308258387,-172.70940229609883,-345.6371459062392,-200.60150343579915,-171.26579547861326,-337.8650802571076,-204.24289161669554,-190.5938257827521,-329.8778794092261,-203.40188129315544,-210.48200387395377,-321.82422132224525,-202.59196705122247,-230.53543289964395,61.05559267380029,8.93170120476194,72.4062662478798,-6.8346979878957255,-378.02948010861024,231.24181024007157,63.77487294429113,-816.1231625285366,287.6316612763111,70.37475583663307,-971.4922603283969,289.53143227728737,-61.05562970530923,-8.931687753545578,-72.40627601212763,-42.22083824411252,-431.9473390916329,-55.679455351865926,9.29827868507832,-876.2417595389085,-61.99199435174649,-105.09416675214675,-975.6985544869644,-27.21499410898739
2,0.016667,-97.77362840094128,639.8185972551096,-57.43116538631763,-57.94966060603909,495.2153118522165,-39.50629176047621,-3.8475760829479455,72.87928557525277,-5.747215388043639,-19.90536307034739,272.4472507670371,-19.296757937863482,-19.90536307034739,272.4472507670371,-19.296757937863482,-19.90536307034739,272.4472507670371,-19.296757937863482,-524.3213557657199,991.957841659326,365.0302339027155,-19.688253103822493,433.4930448267677,-7.035692883528646,66.20145088349453,438.9936765124993,106.11218416712845,119.09067347615698,201.86106279624676,249.60895587028284,84.48424953105521,-47.25942469874217,361.3486443489953,59.198761769799944,-74.77918647620096,338.77276927687416,71.2008058915055,-133.42423816052948,365.3057414381957,91.81679681154435,-128.79757863008518,366.20638849470765,111.28141421941716,-119.80796751834811,366.80464552611494,130.92227616092487,-110.77883867800755,367.410610375312,-70.80387261982133,419.83060695802897,-61.4111815254285,-153.45959724647196,392.4340612542814,-173.78200939048492,-239.5934880738733,132.71183528188396,-242.67189705782414,-328.86537499471615,-125.96540239287182,-213.32970713423686,-320.7664726079145,-140.05807086399048,-172.805974256497,-345.56236023379904,-200.64168010347822,-171.36356578414123,-337.7890313381274,-204.28333112312316,-190.69104445204584,-329.80048197850056,-203.4425830676412,-210.5786946156062,-321.74545869871156,-202.6329480867525,-230.63158492997144,61.044110392365404,8.933403199604061,72.41574296502544,-6.832568053050654,-378.0393981374256,231.2287886778217,63.79700648011669,-816.1305940710449,287.61287868086174,70.3914871258884,-971.4999502166806,289.51021817325363,-61.044130451922676,-8.933389711334296,-72.41574816032318,-42.19489354731907,-431.9493957439797,-55.713975248467875,9.305242951404114,-876.2461230689561,-62.01904370628708,-105.08992454743682,-975.6979487740182,-27.23678512060783
3,0.025,-97.70854090115192,639.827021593337,-57.53029830722035,-57.923770661486685,495.21507438473304,-39.55282059969258,-3.849106150707705,72.87695947916274,-5.747661619854291,-19.897477937729512,272.4425305708982,-19.311085342799686,-19.897477937729512,272.4425305708982,-19.311085342799686,-19.897477937729512,272.4425305708982,-19.311085342799686,-524.3427362253483,991.961898229255,365.0555625223824,-19.67351435129028,433.48955743441786,-7.066142011355602,66.18684481322202,439.01160041235204,106.10296459811289,119.08946349109691,201.9115328108306,249.64858228444055,84.5176517208916,-47.20018638935409,361.4185273282847,59.2602417901457,-74.73044370954128,338.82400700731085,71.27364666697007,-133.37179460528648,365.36002916689387,91.88679464858683,-128.73515161556173,366.27443131201494,111.34663875661715,-119.73610600653771,366.88604594037577,130.98268877849148,-110.69745099834245,367.50549729309375,-70.77646591695301,419.8247703286328,-61.45295225802166,-153.4061762478858,392.4089999968455,-173.83822372420468,-239.49670257556414,132.66920732021418,-242.71598885422947,-328.7642291103818,-126.017897649609,-213.44751501834236,-320.67016528842214,-140.1105567669073,-172.92280949291379,-345.465790412745,-200.69434965432237,-171.48350367523867,-337.6900652014715,-204.3359194693495,-190.810038428499,-329.69909353371736,-203.4950813640575,-210.69671690155337,-321.64163069727414,-202.68537055791575,-230.74862011432975,61.029600667806605,8.935589413567104,72.42770901012867,-6.8288265028943975,-378.05226848984694,231.2118669394613,63.82648298513796,-816.1403184158416,287.58812337098107,70.41450604702311,-971.509979090393,289.48289436959357,-61.029603691144246,-8.935585018070926,-72.42770812377285,-42.15949721774949,-431.951739753428,-55.75309481404568,9.326531473667604,-876.2502374529212,-62.0486167591942,-105.07068392076262,-975.6992995616533,-27.26519531156446
4,0.033333,-97.63562327877455,639.8341067034071,-57.639287389658485,-57.89283810499033,495.2128813896481,-39.60345273842796,-3.8501500559012687,72.87323133754714,-5.748415207368769,-19.88709235290396,272.43507403197174,-19.327126962862465,-19.88709235290396,272.43507403197174,-19.327126962862465,-19.88709235290396,272.43507403197174,-19.327126962862465,-524.3692272325934,991.9686574158203,365.08368685603796,-19.65509162079175,433.48339841497057,-7.099250157119751,66.17351917708956,439.0271364591779,106.0928807335979,119.09152514727262,201.96312241498777,249.69236291285267,84.56641880204296,-47.137334245219606,361.50184277261974,59.336986290304,-74.68006552090839,338.89124110341163,71.36498174136514,-133.3159713217864,365.4326922504939,91.97516275171813,-128.66860120470426,366.3596589188539,111.42994481178252,-119.65943138086715,366.9832741353608,131.0609000917967,-110.6105477289259,367.614843794615,-70.74403983162262,419.8164155488,-61.4986719985364,-153.34543516388285,392.38054079975336,-173.8998522728624,-239.3898211277155,132.62192198922725,-242.76420851733587,-328.6519617086995,-126.07522056363726,-213.56798439601954,-320.56480465353707,-140.1683558564928,-173.04206652221615,-345.35779772190125,-200.75336693007716,-171.60869141651162,-337.57827740587663,-204.39415063051513,-190.93384851607567,-329.5836180602145,-203.5524999091362,-210.81901747608117,-321.5224481752019,-202.7419817585409,-230.86939268298661,61.01364852569701,8.937861359614917,72.44087306742195,-6.823501632503939,-378.06686169376997,231.1930281867426,63.86133366120711,-816.1513763595602,287.55971872830594,70.44275074157113,-971.5213401841364,289.45258769771283,-61.013639752419884,-8.937874097195811,-72.44086660139008,-42.11819580426082,-431.9538288820401,-55.78977967392039,9.36586925308862,-876.2526886989522,-62.07580734598183,-105.03230912268174,-975.7024141597094,-27.29746145558005
5,0.041667,-97.56017075839023,639.8389605873008,-57.752171763494914,-57.858227427972004,495.2091834463932,-39.6552854192048,-3.8504021681001332,72.86863841802607,-5.749547077605323,-19.87430961473465,272.4259572870783,-19.34422130633473,-19.87430961473465,272.4259572870783,-19.34422130633473,-19.87430961473465,272.4259572870783,-19.34422130633473,-524.4002768062564,991.9769299887198,365.11325081380915,-19.633643613716156,433.47555411031874,-7.133220910696593,66.16306504257211,439.0391459878789,106.08212343255765,119.09778609789561,202.01269164866954,249.7374229295703,84.63184515709105,-47.07397552712767,361.59587314050646,59.42754700970913,-74.63070311450211,338.97427035370333,71.4730220549531,-133.25925933150916,365.52403224739163,92.08035838104216,-128.60120193432934,366.4607429546562,111.5301870362298,-119.58196313673619,367.09335604577575,131.15616544090585,-110.52290413415491,367.7340097482891,-70.7080603617602,419.8066819668221,-61.54581879383004,-153.28073564887643,392.35182351738916,-173.96346799367006,-239.28075412959464,132.57509712073394,-242.81492262954316,-328.5366245910676,-126.13120992226638,-213.68069691673946,-320.4585426533474,-140.22541254177546,-173.15334434641483,-345.2459253794307,-200.81293459119746,-171.72915653305895,-337.46105767739175,-204.4520600582486,-191.05247131849814,-329.46133635416925,-203.60870142464228,-210.9355385526959,-321.3950755737461,-202.79646874284524,-230.9837919950691,60.99707665210617,8.939962608483128,72.45457058617362,-6.817424341634263,-378.08217875545984,231.1739509975859,63.9004171245127,-816.1628563716185,287.52905901798147,70.47537516545344,-971.5331039393495,289.42117537137415,-60.99706345541887,-8.93999257881189,-72.4545610664505,-42.0744754968036,-431.9554768487666,-55.822343193422874,9.419376210853878,-876.2533108326072,-62.100844269852686,-104.97940745445837,-975.7055653274458,-27.331738435663787
6,0.05,-97.4868911551283,639.8409826982598,-57.86703398776193,-57.82166399911155,495.204773910076,-39.707668732790154,-3.8499160382950874,72.86401162783451,-5.751137827592752,-19.85982430952717,272.4167960109224,-19.36237645390917,-19.85982430952717,272.4167960109224,-19.36237645390917,-19.85982430952717,272.4167960109224,-19.36237645390917,-524.4351086546059,991.9848247314471,365.1441707980354,-19.61055541451565,433.46761975557,-7.167778652718852,66.15507658138733,439.04870255201433,106.07025197040689,119.10730170870482,202.0601994673241,249.7816888856801,84.71260541866876,-47.01031506693079,361.698015569513,59.53001714429516,-74.58263154088228,339.0712214547171,71.59548148672278,-133.20164565179405,365.6329716814322,92.20015960016953,-128.53316314249744,366.57629318058423,111.64525885323704,-119.50412342560838,367.2145354383753,131.26649078343684,-110.43516299192714,367.8608681712796,-70.67013279205324,419.79702836947354,-61.593872271746335,-153.21397082503188,392.3254067499972,-174.02860796517942,-239.17397794232056,132.53248226968267,-242.8689260672441,-328.42326781451055,-126.1814411761703,-213.78215624843673,-320.35648535193235,-140.2770074467977,-173.25303285735254,-345.1356806805095,-200.86815694468908,-171.84074523874224,-337.3439511401907,-204.50497065379747,-191.16172773159337,-329.33780987225947,-203.65923343519356,-211.04211340482308,-321.2650828052669,-202.84460447215662,-231.08766455218648,60.980152250506094,8.941917108340261,72.46857237478389,-6.811914501447745,-378.0973391615201,231.15580433967915,63.94287492649319,-816.1738963229991,287.4965781387174,70.51136648894796,-971.5444142856425,289.38907217993,-60.98014110571239,-8.941954943120738,-72.468563338591,-42.03073192986294,-431.95690334363474,-55.853323338564465,9.47839704724369,-876.2530384744671,-62.127032053024294,-104.92169934544529,-975.706990190286,-27.367117980097618
7,0.058333,-97.41981230527728,639.8394275884976,-57.98361005456384,-57.785101634407496,495.1999239785447,-39.76098340654573,-3.8489387732791407,72.8598646370119,-5.75323139708062,-19.844656720034592,272.4085567509439,-19.38177993044056,-19.844656720034592,272.4085567509439,-19.38177993044056,-19.844656720034592,272.4085567509439,-19.38177993044056,-524.4727582683112,991.990965182586,365.1769468766689,-19.58760636327758,433.4605790727288,-7.2032615495326215,66.14787876251064,439.05747696711194,106.05681758074684,119.11771945206125,202.106606485876,249.82380266805944,84.80490949963496,-46.94587172370795,361.8053529816263,59.64136307591423,-74.5355098440409,339.1784951948769,71.72876594834088,-133.14268909573877,365.75637135128227,92.33093101614304,-128.46396533720048,366.70375889664,111.7714770388201,-119.42531812087263,367.34480988701443,131.3881399415547,-110.34665793026664,367.9939726962217,-70.63192820305386,419.78815069697396,-61.64319953999794,-153.14603781422443,392.30230392335153,-174.09628404416583,-239.07125964853122,132.49548314203338,-242.92760747472153,-328.3148578517982,-126.22401891000332,-213.87298395809455,-320.26138770633315,-140.32061734381017,-173.3415769414782,-345.03149582243003,-200.91578562929848,-171.94225372240976,-337.23177792799913,-204.55025978207772,-191.26045263178645,-329.2181366211276,-203.70211681927105,-211.1377138722059,-321.13784399767985,-202.88505948578796,-231.18011929985528,60.96291493669168,8.943911979113484,72.48282258743924,-6.807977056893163,-378.11174416970056,231.13908411778124,63.98788143108124,-816.1839364237819,287.462214383218,70.54967989452194,-971.5547256740051,289.35568984353097,-60.96290952666386,-8.943943673101373,-72.482817262853,-41.987703877192516,-431.9584527909218,-55.885948108470615,9.535795380081222,-876.2529622137365,-62.15711144621814,-104.86687907001067,-975.7061372082669,-27.403477471467426
8,0.066667,-97.36093857540125,639.8341468785541,-58.10103381306823,-57.74982343114193,495.19446287312434,-39.81539240193277,-3.8476666392092214,72.85614903792339,-5.75579327169977,-19.829467327709594,272.40112074459415,-19.402340314642377,-19.829467327709594,272.40112074459415,-19.402340314642377,-19.829467327709594,272.40112074459415,-19.402340314642377,-524.5125649672998,991.9949849402255,365.21186044103655,-19.565932843566927,433.4543309197541,-7.239720590940642,66.13999368120986,439.0665215796947,106.04197344437023,119.12670890863492,202.1526418173575,249.86370510307034,84.90381842006286,-46.88053364590803,361.91562243828855,59.7578581451956,-74.48892194898674,339.29209935818886,71.86837885814815,-133.08245732713252,365.8895106541203,92.46810538919732,-128.3935475479125,366.8394438202324,111.90418148827366,-119.34536015529237,367.4815489284912,131.51635712318546,-110.25707271639104,368.1317719554811,-70.59447182933222,419.77974794821694,-61.693906911539614,-153.0770461789575,392.28189323164827,-174.16719361324488,-238.97256660578296,132.4633246165917,-242.99125804905088,-328.2130402442279,-126.259350808032,-213.95528696781332,-320.1742523151498,-140.35602216616087,-173.42099252173782,-344.9368009905928,-200.95455490359694,-172.03352081508984,-337.12869717279233,-204.58743575978394,-191.34863231084802,-329.10704050208636,-203.7376549839882,-211.22258807968763,-321.0186557995848,-202.91894212230451,-231.26166601988484,60.945370850449784,8.946079312663358,72.49730186030257,-6.805806444817425,-378.12523731709865,231.1237485636509,64.03486387740132,-816.1928645244288,287.4260321924343,70.58972454666667,-971.563936332909,289.32022520719346,-60.94537094794791,-8.94609432133807,-72.49730174477833,-41.944773883560416,-431.9602934440369,-55.921708890775925,9.589461230548535,-876.2535784342883,-62.19145134965011,-104.81692576124101,-975.7036028041872,-27.4410386635605
9,0.075,-97.30922851018158,639.8264649831144,-58.216875822653236,-57.71572041886981,495.1884604757115,-39.87046753815697,-3.8461509535242664,72.85251580147953,-5.758744270809724,-19.814175159137157,272.39382618142236,-19.423703475603723,-19.814175159137157,272.39382618142236,-19.423703475603723,-19.814175159137157,272.39382618142236,-19.423703475603723,-524.5545425513733,991.9970646995461,365.24858752316374,-19.545308737833352,433.44821265552105,-7.276743606036312,66.13128477828107,439.07608705519965,106.02636246229119,119.13302286380126,202.19865013953907,249.9025988520196,85.00451749368449,-46.81440014617951,362.02794396083084,59.875840203920845,-74.44219982726028,339.40892989220816,72.00990348052795,-133.0212995325806,366.02738348426965,92.60719886973018,-128.32216149153356,366.9794197680653,112.0388002359249,-119.26440213133984,367.62202912258454,131.64648288666265,-110.16645566391084,368.2727607131986,-70.55762788323679,419.7712095844703,-61.74551160934598,-153.00639928265718,392.2627938476465,-174.2410000775994,-238.87697211910984,132.4343029660627,-243.0587384681727,-328.11873644873026,-126.28886087052992,-214.0310840094893,-320.09506523254777,-140.38429827455587,-173.49336348813313,-344.8535935721259,-200.98467692145078,-172.114837014308,-337.03750569541296,-204.61727148658528,-191.42677381965729,-329.00798130406315,-203.76719657339316,-211.29753754352544,-320.9116555018987,-202.94818372853285,-231.33340062859347,60.927578543210785,8.948421007015556,72.51196310150338,-6.804987263084238,-378.13792560709885,231.1096481938751,64.08376114060864,-816.2007744493221,287.38857804659995,70.63163790433262,-971.5721433094418,289.28232051643045,-60.92758054022179,-8.948417803696323,-72.51196701152256,-41.90080606290567,-431.96237947691554,-55.96046346786186,9.640901680237674,-876.2548106311851,-62.22885202559447,-104.76989011522207,-975.700235114747,-27.479788228495472
