frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,1.902005852921361,1701.9020058529213,,2.1037279280062897,1552.1037279280063,2.1037279280062897,-1.8250230985780451,1298.174976901422,,1.8546903936723127,1401.8546903936724,1.8546903936723127,1.5411117939171575,1201.5411117939173,1.5411117939171575,-2.2045224871573375,1097.7954775128426,-2.2045224871573375,3.5714810897550664,1003.571481089755,3.5714810897550664,-215.89803824145284,1499.28234017557,-0.7176598244299482,-321.95707324067416,1396.6382585597532,-7.692712656071645,-458.4289043093305,1161.8121687426046,-9.01131156119477,-502.02812094757314,1062.459500985381,-15.823003841706873,14.690903446970093,828.4261184939754,-22.782591592253866,1.6008255434548349,801.6008255434548,1.6008255434548349,-1.7836107952833877,798.2163892047166,-1.7836107952833877,-1.8575840785059519,798.142415921494,-1.8575840785059519,-0.5049871027423116,799.4950128972577,-0.5049871027423116,213.05510347824702,1499.2017425530735,-0.7982574469264744,330.9158232589689,1364.6297383527542,2.5917684002506873,437.55477676847124,1178.6404148673867,21.996261115146016,516.2272122762427,1072.2231543684438,10.200491753547421,19.87185343804973,792.3459826441582,19.958174344430113,4.30204752670127,804.3020475267012,,-1.254315308557597,798.7456846914424,-1.254315308557597,-0.5848203291936466,799.4151796708063,-0.5848203291936466,,,-1.7157231059303362,-151.35525717796315,898.6447428220368,-1.3552571779631395,-149.17881787816083,550.8211821218392,0.8211821218391853,-150.96419809798587,99.03580190201414,-0.9641980979858574,-4.291436976989739,795.7085630230102,-4.291436976989739,141.68086984545053,891.6808698454505,,149.47008110488989,549.4700811048899,-0.5299188951101227,146.3853190895468,96.38531908954683,-3.61468091045318,-1.0038079218359237,798.9961920781641,-1.0038079218359237
1,0.01,4.138158672338277,1704.0974487214266,4.11780419916303,9.415825551429721,1559.375115600518,9.395471078254475,2.9666979353443867,1302.9259879844328,2.94634346216914,0.6590025786568122,1400.6182926277452,0.6386481054815651,5.907181050883724,1205.8664710999722,5.886826577708477,9.488870388478718,1109.4481604375671,9.468515915303472,2.9786048541645016,1002.9378949032528,2.958250380989255,-216.3031272884111,1500.1240874404743,-0.28297992482511475,-320.5467823006524,1397.3206030189563,,-454.39837457049424,1166.8636109234105,,-493.33138177468686,1067.160607230123,-7.669900029497051,11.632920790166578,825.6972658370015,,-0.9123350238940261,799.0469550251943,-0.9326894970692732,2.787061811337459,802.7463518604258,2.7667073381622123,2.6756851583756753,802.634975207464,,-8.11258112904974,791.8467089200385,-8.132935602224986,215.4723745687644,1502.931945957281,2.5248785919816066,333.84117880907775,1364.8511900698616,5.059674149968756,433.50394906112206,1178.0469752297354,19.39034892282355,515.8189816814044,1075.1637446346213,9.791787979846708,22.441611134723104,793.0635307325053,22.701049919133744,8.454092022982016,808.4133820720702,8.43373754980677,10.399775420628245,810.3590654697165,10.379420947453,-4.213077469050402,795.7462125800379,-4.23343194222565,7.002061925207891,806.9613519742961,6.981707452032643,,898.1921023601094,-2.7580375554703194,,,5.341311368284331,-151.97771580925055,99.37956376809555,-1.570576147484133,2.9853974825492484,802.9446875316376,2.9650430093740017,144.18676516598,892.8294855886338,-6.220374495786422,149.62014054664155,548.2628609692954,-0.7869991151248692,151.708680003444,100.35140042609788,1.3015403416775573,-1.2304133401343404,798.728876708954,-1.2507678133095874
2,0.02,-0.2250403997007555,1699.6935702350709,,-2.113489620896314,1547.8051210138754,-2.1541802857712185,1.3607424078807968,1301.2793530426525,1.3200517430058922,3.4369281199947297,1403.3555387547663,3.396237455119825,-1.9546943431220356,1197.9639162916496,-1.9953850079969402,-0.4032455850427219,1099.5153650497289,-0.44393624991762637,1.3107310289887932,1001.2293416637605,1.2700403641138887,-209.0436636678857,1508.607337977913,7.793701392421248,-323.6931409612835,1393.560866568706,-4.71501711295654,-461.80984745093315,1160.5102065037095,-6.16512664286908,-488.22185876187405,1068.28147043754,-3.0057001268427586,14.278493044437852,828.7534498737759,-26.240610705955135,1.451042421638998,801.3696530564106,1.4103517567640937,0.37110941977599143,800.2897200545476,0.33041875490108696,,801.8988660321855,1.93956473253904,0.7658017758059077,800.6844124105776,0.7251111109310032,211.24924199594543,1500.0398609094648,-0.7737756760267659,336.92824258664103,1365.235399374909,,426.3459305049144,1174.3256932077538,13.550896103852391,520.8643390775662,1083.622821761304,14.91543532524206,17.573705206802988,786.552321216602,18.07253536985359,-2.5896871461489943,,-2.630377811023899,0.6094662934427983,800.5280769282144,0.5687756285678939,2.0385259788043335,801.9571366135759,1.997835313929429,4.669454747643053,804.5880653824147,4.628764082768148,-143.35381689945567,909.3614098435494,7.460397218836089,-150.0593925569395,552.6558341860655,0.7548215613522367,-154.81983896427784,97.8953877787272,-4.005624845986068,5.7656589357097365,805.6842695704813,5.7249682708348315,151.93456052677874,899.2193337837737,1.1203464084869799,,544.0599975880095,-4.038989787277187,146.84965220231973,94.13442545931471,-3.9645619159720242,1.9373611841860563,801.8559718189576,1.896670519311152
3,0.03,2.92790061720099,1702.8058928974588,2.8669103143559553,-5.027926197436872,1544.8500660828208,-5.088916500281907,-5.5302430377646425,1294.3477492424931,-5.591233340609677,-4.034998366247956,1395.8429939140099,-4.095988669092991,4.240233365425809,1204.1182256456837,4.179243062580775,4.501942925190315,1104.379935205448,4.44095262234528,3.0842608445606277,1002.9622531248183,3.023270541715593,-210.03880113876872,1508.8114932461676,7.592283178189227,-323.21712589947566,1393.5367207730503,-1.7011462837021898,-458.728323709553,1164.6810174662662,-0.0038881329443540835,-488.0901446895809,1064.4539424502884,-3.21224526392927,25.532820039950742,840.5050487554755,-16.076253308159917,-4.731075657554144,795.1469166227035,-4.792065960399179,0.5903114185961086,800.4683036988538,0.5293211157510741,-2.203167882207166,797.6748243980504,-2.264158185052201,2.2393039775584236,802.1172962578161,2.178313674713389,208.93551125818868,1499.0736957020042,-2.145514365974166,336.49294957789886,1362.1070260379595,6.556196405922792,426.9617868533017,1178.3474543093662,15.353436956910645,509.9077650002744,1076.1259890870967,4.110312057867061,32.93961848075706,800.4849540134479,33.7412272144366,-0.9161573695526009,798.9618349107051,-0.9771476723976353,1.155915240640891,801.0339075208985,1.0949249377958565,5.245638380748543,805.1236306610061,5.184648077903509,-5.279724332091668,,-5.3407146349367025,-152.52138395759516,901.5531165479188,-1.3002294301126387,-150.6760528517715,553.3984476537424,0.5451016757110398,-148.4794818333837,105.59501867213022,2.7416726940988396,-0.7488880252658372,799.1291042549918,-0.8098783281108717,147.0942939626857,893.0197934571718,-4.126860564796829,149.73377003313516,545.6592695276213,-1.4873844943473595,148.39663860053963,94.32213809502574,-2.8245159269428894,-0.8086296762851222,799.0693626039725,-0.8696199791301567
4,0.04,-4.584978810783524,1695.2524866712004,-4.666213944054578,,1558.5275518670685,8.608851251813599,7.716697161710095,1307.5541626436939,7.635462028439042,0.32234158652363887,1400.1598070685075,0.24110645325258548,1.539512308905186,1201.376977790889,1.4582771756341326,4.5561031687235936,1104.3935686507075,4.47486803545254,4.712366081686252,1004.5498315636701,4.631130948415199,-222.54967714327785,1497.4740052466261,-4.149286077969718,-333.71505432221085,1382.650080828536,-9.552595686700574,-466.14133116443065,1158.3826064319564,-4.374802147972868,-484.77577623786215,1063.8604499697824,-0.12113350377354681,21.118787128219886,836.6788134889628,-21.279269716906185,6.050330884390724,805.8877963663746,5.969095751119671,6.249754332463353,806.0872198144472,6.1685191991923,2.448065283340474,802.2855307653243,2.36683015006942,-2.6020523796675024,797.2354131023163,-2.6832875129385556,205.4776172972718,1496.9782640165324,-4.6450273080634314,336.71649868734005,1359.656101853062,6.088292744710607,427.51618874143315,1182.2669456565727,16.95758334443214,511.8270056493812,1081.5313048013547,6.247797051137166,17.764741578098544,784.0862376714283,18.92868179910149,0.24614124389142913,800.0836067258753,0.16490611062037577,-5.149880605935015,794.6875848760488,-5.231115739206068,-1.9184662893718607,797.918999192612,-1.9997014226429142,-5.113059388839693,794.7244060931441,-5.194294522110746,,905.8718360613299,2.0639781054741553,-143.06380553407854,562.3719372195079,8.564079263652214,-151.32339497723413,104.11234777635235,0.3044898204966291,0.4991489144068955,800.3366143963907,0.41791378113584216,149.5087437227989,894.0730009692124,-2.1191410749318704,147.7694045248283,542.3336617712419,-3.858480272902455,149.09328407069012,93.65754131710361,-2.5346007270406576,2.1351591571881197,801.972624639172,2.0539240239170664
5,0.05,-2.487584116088331,1697.3094765801577,-2.5889910460758685,5.1700721928657964,1554.9671328891118,5.068665262878259,4.911588464770095,1304.708649161016,4.810181534782558,-0.930341995238731,,-1.0317489252262684,1.0887944286375049,1200.8858551248834,0.9873874986499674,-5.5781310220015285,1094.2189296742445,-5.679537951989066,0.5116660193821833,1000.3087267156282,0.4102590893946458,-221.41164008473444,1499.7581509606323,-2.2672345617421703,,1396.039269083151,6.861577603163006,-469.6780585555754,1155.9799292345333,-4.918160852096605,-486.7528597860628,1058.048207099613,-2.1994441541300755,23.944054122110977,840.1849016502841,-18.9355138214385,-5.811886195948477,793.9851745002975,-5.913293125936015,,793.9051027862024,-5.993364840031088,2.1978346689839534,801.9948953652299,2.0964277389964163,-0.4133628688794314,799.3836978273665,-0.5147697988669688,209.94361752695175,1502.8199799665877,0.7945944442129959,347.09043496327195,1367.3830814771147,15.69960023938052,428.87552755597886,1186.9408045673454,19.225161727439534,507.3168137040833,1080.5131696716517,2.015595657534033,22.40030549675253,787.7051607251908,23.98138842940078,-2.3380781537117743,797.4589825425342,-2.439485083699312,-1.4728532775407968,798.3242074187052,-1.574260207528334,-5.082229050420759,794.7148316458253,-5.1836359804082965,1.3656623978844349,801.1627230941305,1.2642554678968976,-146.15723889255884,910.6423309027987,5.877079130952588,-141.79213878498007,565.0074310103774,10.242179238531367,-139.3959867129141,117.40358308244343,12.638331310597337,4.254729750841961,804.0517904470879,4.153322820854424,145.13359811447583,888.3340283191184,-6.900719909035586,147.36084901596092,540.5612792206034,-4.6734690075505085,148.4186599661624,91.61909017080488,-3.6156580573490236,-3.6161363392398704,796.1809243570061,-3.7175432692274075
6,0.06,3.9748821997447825,1703.7316905255857,3.8533946960685936,5.0551119682009595,1554.8119202940418,4.9336244645247715,-4.3392857114906915,1295.4175226143502,-4.4607732151668795,0.16184784661272456,1399.9186561724537,0.04036034293653601,-1.025072130392159,1198.7317361954488,-1.1465596340683475,0.527774281192985,1100.2845826070338,0.4062867775167964,1.3458185078858955,1001.1026268337267,1.2243310042097069,-213.82834953858236,1508.4589338028786,6.0339337703311,-328.5866396896283,1387.3263576374202,1.1560704157214392,-472.79789136611595,1154.0078250254344,-5.104253544887098,-488.8344107497396,1052.2247205301037,-4.254168146333868,18.33999515741508,835.3557755869181,-24.70946308271517,0.2706364095482657,800.0274447353892,0.14914890587207713,1.2099314933823027,800.9667398192232,1.0884439897061142,0.5449790674779844,800.3017873933188,0.4234915638017959,-0.06676328616384564,799.690045039677,-0.18825078984003418,209.7134198598088,1503.977088170683,1.5520881381354292,341.37346858153813,1359.0556294336802,9.152695609545994,431.43576753311737,1192.7555023279454,22.548084628503616,506.20651557950225,,1.2353985547871182,21.157316337692816,785.6488794317931,23.20475485328896,7.109532284615948,806.8663406104569,6.98804478093976,3.1941287208332767,802.9509370466742,3.0726412171570883,1.1863569711930888,800.9431652970339,1.0648694675169001,-0.040794517990693335,799.7160138078502,-0.16228202166688188,-148.187922086056,909.9786419301045,4.252430907013425,-151.8276385558591,556.3389254603014,0.6127144372103377,-139.26681738601383,,13.17353560705558,-0.04541354146294341,799.711394784378,-0.16690104513913195,146.3599356569125,888.1933716407522,-6.080417336156915,142.46033727712802,534.2937732609677,-9.98001571594139,143.6418313655724,85.47526734941198,-8.79852162749703,1.044514020623263,800.8013223464642,0.9230265169470744
7,0.07,-1.4477659987254579,1698.2689727080053,-1.589224709773475,1.2491729465325834,1550.9659116532634,1.1077142354845662,2.289901932138192,1302.006640638869,2.1484432210901745,0.9159809759663629,1400.6327196826971,0.7745222649183456,0.5119968676561517,1200.228735574387,0.37053815660813444,4.8853236395653745,1104.6020623462962,4.7438649285173575,1.7246040903181687,1001.4413427970491,1.5831453792701513,-220.54367764948344,1502.8311838364289,0.009538859196532412,-330.7180304963149,1385.126061540483,1.9382458201903343,-470.2421466167833,1157.7193067859855,0.31493866851901026,-483.6294809678039,1053.8005141457718,1.1105819769373935,14.59750723109703,832.4819832828767,-28.308446103432082,0.8505598636335231,800.5672985703644,0.7091011525855059,3.3628399330371255,803.079578639768,3.221381221989108,4.882821965982963,804.5995606727139,4.741363254934946,6.804020765400432,806.5207594721313,6.662562054352415,207.9585343980034,1503.6194175188507,0.7977725416183445,348.3113359276262,1363.4284487420628,,424.7414175343755,1189.2463464935424,16.467339891778916,502.0171246802018,1082.131741410557,-2.5799078581015435,19.23271110418862,783.1089402613193,21.789323523860674,-3.163636862575203,796.5531018441557,-3.3050955736232206,2.8152074974682133,802.5319462041991,2.6737487864201963,-2.9161109844896465,796.8006277222412,-3.057569695537664,0.5809905661298893,800.2977292728608,0.4395318550818721,-143.51648335813255,916.0207823354607,9.329387433534235,-144.97898723754608,564.5582784560471,7.866883554120701,-144.13075791001634,115.40650778357683,8.715112881650434,-4.601939162512574,795.1147995442183,-4.743397873560591,145.4036127568345,885.8663470632413,-7.4422580348322995,148.3409453571744,538.8036796635812,-4.504925434492377,144.26574057488006,84.7284748812869,-8.580130216786719,-1.7428469267561755,797.9738917799747,-1.8843056378041927
8,0.08,-2.003545806350675,1697.6733362883829,-2.164848270356489,0.7905521627847323,1550.467434257518,0.6292496987789181,6.2868206775660544,1305.9637027722995,6.12551821356024,-0.7529655575780823,1398.9239165371553,-0.9142680215838964,-2.5520342191169005,1197.1248478756165,-2.7133366831227144,11.275640723020432,1110.9525228177538,11.114338259014618,-1.6647471227306607,998.0121349720026,-1.8260495867364748,,1507.7062409248551,4.491407151649991,-335.131282654895,1380.744431122043,0.5068445849011511,-471.358097906567,1157.7615608693914,1.9817570009141032,-484.34402034434817,,0.6926371591926772,,837.9479690209802,-23.34683583359705,4.0225378347274034,,3.8612353707215896,2.390489581815303,802.0673716765486,2.229187117809489,6.22416715734347,,6.062864693337656,1.6883494639436367,801.365231558677,1.5270469999378227,216.3118539375939,1513.3781637796362,10.16333000643106,343.4798485010284,1356.0862970179935,9.413948075635512,427.60156300259825,1195.213542112367,19.789038168616678,498.1667560449565,1081.664965474302,-6.020725149790032,11.174521836119958,774.6265237303162,14.276005306329807,5.497198968624973,805.1740810633582,5.335896504619159,-2.848286795611762,796.8285952991215,-3.0095892596175764,-1.0708964116145887,798.6059856831188,-1.2321988756204028,-1.076546408987255,798.600335685746,-1.237848872993069,-142.84707997418616,918.0650850337979,10.403651549198889,-145.23166832755837,565.6804966804257,8.019063195826684,-151.38589541422476,109.52626959375932,1.864836109160299,-8.842397329070815,790.8344847656625,-9.00369979307663,141.47520486154028,880.5630398535562,-11.775526661844767,150.85862143161873,539.9464564236347,-2.3921100917663063,144.08057328889979,83.16840828091576,-9.170158234485246,1.7994269545026746,801.476309049236,1.6381244904968604
9,0.09,-1.5163304303646379,1698.120938221877,-1.6973311691476176,0.581226445153732,1550.2184950973954,0.4002257063707523,2.57184810082647,1302.2091167530682,,0.7045371670147005,1400.3418058192563,0.5235364282317208,-0.33784992034683614,1199.2994187318948,-0.5188506591298159,4.976129506804856,1104.6133981590465,4.795128768021876,-0.980194573345772,998.6570740788959,-1.1611953121287517,-220.21727638643705,1505.238013142966,1.6339294707721688,-341.8557745713162,1374.1484834304508,-3.178364320315591,-476.4337670288946,1153.841179141879,-0.40188857442631853,-480.63788607021667,1049.944980031998,4.8346995053202395,14.255644574822066,834.1501519218766,-27.427970330809067,2.6756677028267104,802.3129363550684,2.4946669640437307,-4.1839246990224765,795.4533439532191,-4.364925437805456,-0.9935946870426056,798.643673965199,-1.1745954258255853,-0.8739037708533994,798.7633648813883,-1.0549045096363792,209.88517516627655,1508.3634129247014,4.759329252507435,344.4821265039721,1354.6411870325187,9.409923683252732,427.9220626314555,1198.5544163049171,20.416623095649058,500.24753532458703,1087.0504274477878,-3.503728758866038,19.583606522514767,782.7942672333279,23.257888382058315,-0.4470707147685735,799.190197937473,-0.6280714535515532,,799.0718726388569,-0.7463967521677239,1.4342216607090934,801.0714903129507,1.2532209219261137,-2.732283193707704,796.9049854585339,-2.9132839324906836,-147.04027504102785,915.251419244541,6.614496132859134,-150.54357724482068,561.7481170407482,,-142.56507999816355,119.72661428740534,11.089691175723434,2.2300710043591914,801.8673396566008,2.0490702655762116,145.15068277545902,882.8589884898902,-8.50408839842796,146.87927737531888,534.5875830897501,-6.7754937985681,150.17262768864447,87.88093340307559,-3.482143485242511,-2.8308604152767822,796.8064082369648,-3.011861154059762
