frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,0.04923015248769197,700.0492301524878,0.04923015248769197,-0.5612468519996051,549.4387531480004,-0.5612468519996051,-0.01398968694771513,299.9860103130523,-0.01398968694771513,-0.1763961326846881,399.82360386731534,-0.17639613268468807,-0.3172099477003274,199.68279005229974,-0.31720994770032734,-0.33916944343452676,99.66083055656567,-0.3391694434345268,0.3296644400927544,1000.3231013293992,0.32638349140778006,-197.22247533601427,500.54290616636683,0.47403168492529774,-347.7484728741488,395.8113546243816,-2.6941832973695443,-452.5693040194281,199.83113658332468,-3.084550259889177,-502.2379389460772,55.92612389917518,-1.6694118933541664,-1.0714938967682937,-206.72043756625527,-2.961884846906798,0.07424557038504428,-199.92575442961498,0.07424557038504428,-0.3413800630333843,-200.34138006303334,-0.3413800630333843,-0.5384798584357522,-200.53847985843572,-0.5384798584357522,-0.3793851276476768,-200.37938512764765,-0.3793851276476768,202.93852900754223,500.13887967998005,0.07000519853861453,349.31979294156696,404.92151337915107,-1.3734474114282564,453.23377094381306,192.90042474187743,1.7406729781994406,497.42363757253554,46.81808494613338,2.532671676981176,1.7947863249412799,-198.66607955544185,2.332024883926557,-0.5310228456972597,-200.53102284569724,-0.5310228456972597,-0.8080312054081733,-200.80803120540816,-0.8080312054081734,-0.001911598526210312,-200.0019115985262,-0.001911598526210312,-0.039786763046621404,-200.03978676304658,-0.039786763046621404,-150.52264508624467,-100.29697303889496,-0.4536850369268147,-150.08666828976814,-449.8609962424185,-0.017708240450311802,-149.92874393238708,-899.7030718850374,0.1402161169307672,-0.35572279498125287,-200.3557227949812,-0.3557227949812528,148.84983114167244,-101.36271468428995,-1.2125670102754715,149.4552980201728,-450.7572478057897,-0.6071001317750964,149.71268114638758,-900.4998646795748,-0.3497170055603007,-0.712632622757889,-200.7126326227579,-0.712632622757889
1,0.01,0.3477830798442443,700.3477830798442,0.3477830798442443,-0.17854075468764385,549.8214592453124,-0.17854075468764388,0.3199237089773668,300.3199237089774,0.3199237089773668,0.12092966371346292,400.12092966371347,0.12092966371346295,-0.028609453510182167,199.97139054648989,-0.02860945351018214,-0.12915184827144346,99.87084815172872,-0.12915184827144346,0.06842131803945392,1000.0597399361411,0.06408174567506383,-197.04753604147186,500.73020482335005,0.6391206901504967,-347.3281387002382,396.0792004377164,-2.3923603706066414,-452.52178769376536,200.0643210174273,-2.9410351185078847,-502.1185456680468,56.09743879316625,-1.5522964019370307,-0.8003837183368316,-206.34604081422282,-2.6384172063412237,0.3256067718696847,-199.67439322813033,0.32560677186968473,-0.03311651556263634,-200.03311651556263,-0.03311651556263634,-0.18600277245849256,-200.18600277245847,-0.18600277245849262,-0.18183246403611128,-200.1818324640361,-0.18183246403611128,203.07422317866815,500.3037235631217,0.21263942992235702,349.2780067815224,405.04466829227385,-1.3619858739540875,453.49504383732926,193.20797912277442,2.037264351050178,497.70817849496007,47.128176047356156,2.7175438316013727,1.9627350492897846,-198.53498139429678,2.550399557229778,-0.20928261990952957,-200.20928261990952,-0.20928261990952957,-0.5266409197280211,-200.52664091972804,-0.5266409197280211,0.30795766065382585,-199.69204233934616,0.30795766065382585,0.2136398593148061,-199.7863601406852,0.2136398593148061,-150.31258665278062,-100.01390225192509,-0.22134507986425633,-149.83619956501352,-449.537515164158,0.2550420079028684,-149.75978781267378,-899.4611034118184,0.3314537602425913,-0.05654705538519256,-200.05654705538512,-0.05654705538519256,149.07280365799346,-101.20851797906508,-1.0097587701941333,149.72017938431836,-450.5611422527403,-0.3623830438692285,149.99122145281933,-900.2901001842392,-0.09134097536825678,-0.4369985233148715,-200.43699852331486,-0.43699852331487155
2,0.02,0.7785817910418442,700.7785817910419,0.7785817910418442,0.3796297746801303,550.3796297746802,0.3796297746801303,0.8123081721929946,300.81230817219296,0.8123081721929944,0.5494670443163905,400.54946704431643,0.5494670443163905,0.38645352876072386,200.38645352876074,0.38645352876072386,0.20628709304044443,100.20628709304057,0.2062870930404444,-0.3132119337554883,999.6743155113274,-0.31944591751612134,-196.79825054843704,501.00229949973266,0.8714819267528765,-346.69787466141224,396.44056729752117,-1.9701746476382214,-452.4324650982997,200.48364290896976,-2.6801872228585806,-501.98885026695257,56.312382141206704,-1.4289979541742575,-0.4259696598469831,-205.78499315562956,-2.168818426131714,0.7003820407048337,-199.29961795929518,0.7003820407048338,0.43229748525429235,-199.56770251474572,0.43229748525429246,0.3377424891721312,-199.66225751082786,0.3377424891721312,0.12615564289942496,-199.87384435710055,0.12615564289942496,203.2805895980323,500.5631144028767,0.43229682989704693,349.16249008946204,405.22131278392703,-1.3820879629543694,453.89858467017245,193.70031232559867,2.5056234318992865,498.13809959585507,47.60174358470697,2.96227196615113,2.216441018112937,-198.3441721362238,2.8948893707963137,0.2665286525972763,-199.73347134740274,0.2665286525972763,-0.10633882345346755,-200.10633882345346,-0.10633882345346762,0.7422583036162269,-199.25774169638373,0.7422583036162269,0.5718085938102142,-199.4281914061898,0.5718085938102142,-150.00795092454416,-99.57844944269902,0.12318864920744417,-149.45159839337396,-449.02209691152893,0.6795411803776266,-149.50735384916328,-899.0778523673182,0.6237857245882782,0.38073537392134094,-199.61926462607863,0.3807353739213409,149.4480255878853,-100.95653078412589,-0.6706460183450339,150.13260890999902,-450.2719474620122,0.013937303768723075,150.37455512433243,-900.0300012476789,0.2558835181021242,-0.005067132746266051,-200.00506713274626,-0.005067132746266079
3,0.03,1.1253483294477826,701.1253483294479,1.1253483294477826,0.8465735281299328,550.84657352813,0.8465735281299327,1.1992889043083577,301.19928890430833,1.1992889043083577,0.8799531947285946,400.8799531947286,0.8799531947285946,0.7018996262434248,200.7018996262434,0.7018996262434247,0.5359967077463645,100.53599670774645,0.5359967077463644,-0.6253103198792864,999.357385068988,-0.6339582207011356,-196.6146078004308,501.2164926899762,1.035071165497049,-346.1295110324934,396.6749347700677,-1.6582711378469275,-452.3603370201578,200.97130864837837,-2.3901664397004763,-501.98953391848346,56.403758866867804,-1.442849983679384,-0.1668665873965058,-205.28451400009618,-1.78545025009844,1.0220455284373209,-198.9779544715627,1.0220455284373209,0.83724317640659,-199.16275682359344,0.83724317640659,0.7775996528799205,-199.22240034712007,0.7775996528799204,0.42114189349001985,-199.57885810650998,0.42114189349001974,203.46249839631986,500.81443324618874,0.6330117217097352,348.94259425389083,405.36713416794873,-1.4802021575016726,454.2696602399942,194.1972759592876,2.962711763166742,498.5397619941415,48.05477214372279,3.1136269943283272,2.4189719186183116,-198.21542719982966,3.2140849123372046,0.6642230364612667,-199.33577696353876,0.6642230364612667,0.25109392584655127,-199.74890607415347,0.25109392584655127,1.0457347904130612,-198.95426520958694,1.0457347904130612,0.8281270212320341,-199.17187297876796,0.828127021232034,-149.75655851013687,-99.15998479898073,0.42547948458706436,-149.10442530874246,-448.5078515975863,1.0776126859814732,-149.29081695488168,-898.6942432437256,0.8912210398422742,0.745638390114908,-199.2543616098851,0.745638390114908,149.8324025474535,-100.72956194143714,-0.3323396456267171,150.50827182369267,-450.053692665198,0.3435296306124028,150.63564813778382,-899.9263163511068,0.47090594470358615,0.40469806483347126,-199.59530193516656,0.40469806483347126
4,0.04,1.2570726378878123,701.2570726378879,1.2570726378878123,1.0570971011213506,551.0570971011214,1.0570971011213504,1.2712333724378821,301.2712333724379,1.2712333724378821,0.9711567461725932,400.9711567461726,0.9711567461725932,0.7625884134217822,200.76258841342178,0.7625884134217822,0.7503481510963899,100.75034815109645,0.7503481510963899,-0.7398627763063126,999.2374947473088,-0.7511762118646106,-196.60365012900314,501.26345103917146,1.0261952552533458,-345.8047438873364,396.64426624471093,-1.6032567218574605,-452.41309759586227,201.36958156212867,-2.2035727134646437,-502.1877167539915,56.281768147113375,-1.6632842939802992,-0.16220324339723557,-205.0085817520038,-1.6395396010504535,1.157898482049563,-198.84210151795048,1.157898482049563,1.0073504190990819,-198.99264958090095,1.007350419099082,0.9476424483672489,-199.05235755163275,0.9476424483672489,0.600026853566633,-199.39997314643338,0.600026853566633,203.54440361662932,500.9757861881223,0.7385304042043848,348.6283825221739,405.4464894848734,-1.6597964318363942,454.47099638427613,194.55686904022423,3.2641209330484964,498.80421680164864,48.36995518457641,3.0806586732437684,2.457805154226926,-198.24881444709925,3.382809225374955,0.8193958416416345,-199.1806041583584,0.8193958416416343,0.4043740468114875,-199.59562595318852,0.4043740468114875,1.0517985932718008,-198.94820140672823,1.0517985932718008,0.8442745296597373,-199.15572547034031,0.8442745296597374,-149.635287309,-98.85356595761928,0.6030564603326455,-148.9318466529831,-448.1501253016023,1.3064971163495862,-149.2028578053908,-898.42113645401,1.0354859639418659,0.9014962979112058,-199.0985037020888,0.9014962979112058,150.05998755850314,-100.67644884010765,-0.1557293397129169,150.68297588393085,-450.05346051467995,0.46725898571478464,150.6299576201546,-900.1064787784562,0.4142407219385503,0.6312500272210169,-199.368749972779,0.6312500272210169
5,0.05,1.1754361264027278,701.1754361264027,1.1754361264027278,1.0060863426361233,551.0060863426362,1.0060863426361233,0.9996138900681699,300.9996138900682,0.9996138900681698,0.8620923148782558,400.8620923148782,0.8620923148782557,0.5723601546182491,200.57236015461825,0.5723601546182489,0.8177321540678436,100.81773215406791,0.8177321540678435,-0.6497618860250167,999.3220725860295,-0.6638317717466218,-196.7910436361978,501.1161376578671,0.8212081790694756,-345.74437914614185,396.3542328354588,-1.8045960304045479,-452.6558888019319,201.58294172484446,-2.2007980423911513,-502.53763774732806,55.978285933238425,-2.0459919998195693,-0.4216706477342738,-204.98271790549234,-1.7487174904263747,1.0766161484475032,-198.9233838515525,1.076616148447503,0.9006079795456264,-199.0993920204544,0.9006079795456265,0.8239300669240782,-199.17606993307592,0.8239300669240781,0.6185081791442397,-199.38149182085579,0.6185081791442396,203.51098131275165,501.0280327322974,0.7331032534998733,348.2639089122471,405.4756438972636,-1.8851564642219465,454.46901003259325,194.74244168023532,3.3718298151762274,498.90953567403517,48.521023288325544,2.853354215993776,2.3274840355494337,-198.44292631363086,3.3874118995583054,0.7139819445302782,-199.28601805546973,0.7139819445302781,0.3533731065204856,-199.64662689347955,0.3533731065204856,0.7871354946326331,-199.2128645053674,0.7871354946326331,0.6325210041033149,-199.36747899589673,0.6325210041033148,-149.60345632361475,-98.62930965337105,0.6932609067540516,-148.9624681086405,-447.9883214383968,1.3342491217282872,-149.26504226828402,-898.2908955980404,1.031674962084802,0.8409572694165355,-199.15904273058348,0.8409572694165353,150.04440212480915,-100.87341348954365,-0.2241753341164297,150.59456144632364,-450.32325416802917,0.32598398739806034,150.3638626553051,-900.5539529590478,0.09528519637951283,0.602950611691929,-199.39704938830812,0.602950611691929
6,0.06,0.9594747617467538,700.9594747617468,0.9594747617467538,0.7996552226010442,550.7996552226011,0.7996552226010442,0.557288552701956,300.55728855270195,0.5572885527019558,0.7141416732105612,400.71414167321046,0.7141416732105612,0.27186159973676016,200.27186159973678,0.27186159973676,0.7749248670298883,100.77492486702997,0.7749248670298883,-0.4456710345104212,999.5205994684077,-0.46251574483587665,-197.11834712468323,500.8323777065982,0.4794751018260337,-345.8239525253357,395.94159037533746,-2.1278483897915343,-453.03591836950665,201.6500308677105,-2.3363216316848106,-502.9404712330005,55.585608856443386,-2.492832178190951,-0.8519692685786949,-205.1219241010566,-2.024133856840158,0.8511895595912906,-199.14881044040874,0.8511895595912906,0.6236747796346975,-199.37632522036532,0.6236747796346976,0.5325285234465296,-199.4674714765535,0.5325285234465296,0.5091240529486591,-199.4908759470514,0.5091240529486591,203.40596321291926,501.01316877422056,0.6602661694484557,347.8727110188865,405.46513658680766,-2.1367902896333533,454.3254592408107,194.814039479971,3.345377920018181,498.8914981606345,48.54269055873467,2.4743730376337516,2.115589209545533,-198.7079060951337,3.310988739239327,0.4563484794578554,-199.54365152054214,0.4563484794578553,0.21247163570476876,-199.78752836429527,0.21247163570476874,0.4438665229465798,-199.55613347705344,0.4438665229465799,0.3281794164698877,-199.67182058353015,0.32817941646988763,-149.5532069044325,-98.38409549606861,0.8024628300516294,-149.1087710923335,-447.9396596839696,1.24689864215063,-149.42219527342775,-898.2530838650639,0.9334744610564041,0.6568489831308005,-199.34315101686923,0.6568489831308005,149.8441799103789,-101.25747250382122,-0.47780040345431063,150.30176915087793,-450.7998832633222,-0.020211162955289526,149.97213700142834,-901.1295154127719,-0.34984331240488004,0.38130751021946524,-199.61869248978056,0.3813075102194653
7,0.07,0.6835047081290637,700.683504708129,0.6835047081290637,0.5631828304921389,550.5631828304922,0.5631828304921389,0.18838880211132206,300.1883888021114,0.18838880211132197,0.6445475593132202,400.6445475593132,0.64454755931322,0.014298801684042545,200.01429880168408,0.014298801684042378,0.6583656150788311,100.65836561507889,0.6583656150788311,-0.23053126139855276,999.7301856383654,-0.2501431183773256,-197.49223464101556,500.50527654362594,0.09466511652351366,-345.8854679871169,395.5691039794149,-2.411081885769757,-453.4208140911251,201.6976629166236,-2.4808175547275044,-503.31542948542693,55.18201178684851,-2.9232214336672273,-1.3107332419910167,-205.28810622937687,-2.3260031008437387,0.5975787039133473,-199.4024212960867,0.5975787039133476,0.3275006691513516,-199.67249933084867,0.3275006691513517,0.2490000901922264,-199.7509999098078,0.24900009019222644,0.3586788808556133,-199.64132111914444,0.35867888085561317,203.27795862068348,500.97916222213837,0.5685507950361013,347.43478609330054,405.38979998638854,-2.4364720817066448,454.12142725410354,194.8517088323257,3.2647867469144343,498.81072065677233,48.496262083175594,2.0086223815452597,1.8929197331480179,-198.97314286751532,3.22180538895405,0.18383652292160546,-199.81616347707842,0.18383652292160546,0.09217954928111916,-199.9078204507189,0.09217954928111922,0.22367312624826913,-199.77632687375177,0.22367312624826913,0.0646986619061536,-199.9353013380939,0.06469866190615359,-149.41478243956038,-98.049715537493,0.9999044763593045,-149.24534870869022,-447.8802818066228,1.1693382072294853,-149.59480630606274,-898.2297394039954,0.8198806098569387,0.4505401522160486,-199.54945984778402,0.45054015221604865,149.60984172949983,-101.67665897209534,-0.7656214724622917,149.91483107289488,-451.3716696287003,-0.4606321290672306,149.61750981641842,-901.6689908851769,-0.7579533855437002,0.1172223417176855,-199.88277765828235,0.11722234171768559
8,0.08,0.37921934770360516,700.3792193477037,0.3792193477036052,0.37400627524221,550.3740062752422,0.37400627524220986,0.019252444759965154,300.01925244476,0.0192524447599651,0.6244388944872169,400.6244388944872,0.6244388944872169,-0.15392746467784735,199.8460725353222,-0.1539274646778474,0.45748976047330436,100.45748976047338,0.45748976047330436,-0.04548698301991205,999.9097030267193,-0.0678497250727148,-197.84201671345585,500.20544855424333,-0.26241073539973503,-345.87322899841195,395.29436455286077,-2.5969885402451345,-453.70719562839474,201.8269269654516,-2.5323462187191166,-503.60117930646356,54.82799032930204,-3.275757577342779,-1.6771704125593803,-205.363165752489,-2.535381255860651,0.3906254046913427,-199.6093745953087,0.3906254046913428,0.0685398828889418,-199.9314601171111,0.06853988288894186,0.09606968976133712,-199.9039303102387,0.09606968976133717,0.24356240515827654,-199.75643759484177,0.24356240515827648,203.12936320545163,500.92817507264056,0.46031578299757225,346.9368538274425,405.23416978856363,-2.7983898159769085,453.87901933338446,194.8767212454842,3.151515664235564,498.7366467167698,48.45256615187906,1.528955155478878,1.6333028428899117,-199.2659817389359,3.0918796899116403,-0.02881945025629526,-200.02881945025635,-0.02881945025629526,0.005258606308304936,-199.99474139369175,0.0052586063083050125,0.17654940168772548,-199.82345059831232,0.17654940168772565,-0.12534412752349128,-200.12534412752353,-0.12534412752349122,-149.21327351506847,-97.65161594685168,1.2603448629989011,-149.30365488457835,-447.74199731636156,1.1699634934889986,-149.73490048783074,-898.173242919614,0.7387178902366003,0.2515951823968619,-199.74840481760316,0.2515951823968619,149.45257815003836,-102.01945943765668,-0.976314743923374,149.5002995679149,-451.9717380197802,-0.9285933260468462,149.37975467045214,-902.0922829172429,-1.04913822350961,-0.07040909114858349,-200.07040909114863,-0.07040909114858346
9,0.09,0.047209892384536156,700.0472098923847,0.047209892384536156,0.25266473239434306,550.2526647323944,0.25266473239434306,-0.011323386752488923,299.9886766132476,-0.011323386752488979,0.550271723860097,400.55027172386013,0.550271723860097,-0.28702042299618524,199.7129795770038,-0.28702042299618535,0.14625077442948745,100.14625077442957,0.14625077442948747,0.12738993532126952,1000.0770864206136,0.10229630393880929,-198.13515320767536,499.9653956491955,-0.5591560600109478,-345.85183141354025,395.05381693118477,-2.7492612891979737,-453.884669413702,202.04687699455746,-2.4814877846583077,-503.74050375518084,54.58058021255128,-3.492972545308291,-1.9248979033537308,-205.32289455739658,-2.6274896289834073,0.22615522814013164,-199.7738447718599,0.2261552281401317,-0.19436777274781059,-200.19436777274785,-0.19436777274781056,0.10456976962519238,-199.89543023037487,0.10456976962519238,0.18092034219146258,-199.81907965780863,0.18092034219146252,202.93219665747569,500.83210249557135,0.307550786365046,346.4238302387213,405.04184918123224,-3.178284055688326,453.5507216374587,194.84072816183686,2.957499489349537,498.7415831094827,48.48552041620844,1.1109359643304013,1.2505855498880525,-199.67407896303385,2.8334472734513243,-0.18312738480249047,-200.18312738480256,-0.18312738480249044,-0.10327422658608823,-200.1032742265861,-0.10327422658608816,0.1839710916281897,-199.81602890837183,0.18397109162818975,-0.28360827325967725,-200.28360827325974,-0.28360827325967725,-149.03008128981492,-97.27122882323582,1.5023308227839327,-149.29122360046384,-447.53237113388474,1.2411885121350184,-149.82023510460647,-898.0613826380273,0.7121770079923972,0.029391394956407413,-199.97060860504365,0.02939139495640744,149.36531216318133,-102.29293327398227,-1.1169126866526202,149.06199101491768,-452.5962544222459,-1.4202338349162709,149.2229150743052,-902.4353303628585,-1.259309775528742,-0.17371754400127762,-200.17371754400133,-0.1737175440012776
