frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-0.11350003744750992,699.8864999625526,-0.11350003744750992,-1.5560830228339844,548.4439169771662,-1.5566491840846564,-0.6868904009223586,299.44396012865934,-0.6868904009223586,-0.27248224837871465,399.7275177516212,-0.27244006297287826,0.29450671566595965,200.294506715666,0.29450671566595954,-2.0946549779134616,97.90534502208672,-2.0946549779134616,0.25915141587953544,1000.2460251944923,0.2525895185095866,-194.7666581924892,499.4817467907864,-0.6560021720963807,-342.6432221820384,405.27374066833164,-1.8376290277791578,-454.91836585284454,207.30974348395839,4.265542196671566,-505.152634246901,62.31766487278276,-3.3492954412431493,0.02982861308563331,-210.72439581449436,5.387169219265777,1.186321763503308,-198.81367823649663,1.204313014091617,0.8120478025744058,-199.18795219742555,0.8120478025744058,-1.0632311785784057,-201.06323117857835,-1.0632311785784057,-0.6706706274252674,-200.66546853310004,-0.6654685331000862,206.81427924221137,501.0886199960552,0.9508710331724237,357.9059402891671,405.21094886187836,2.090050878694629,456.50704719243936,205.20524919446683,-6.775523065735122,497.9738032239677,48.30621654889051,0.33964038288890397,2.472235633301955,-187.89428770710435,4.744661044862229,0.46879932167976857,-199.53120067832018,0.46879932167976857,0.2481840180849161,-199.75181598191506,0.24818401808491605,-1.365857574024088,-201.36585757402406,-1.3658575740240877,1.4033775025166835,-198.59662249748328,1.4033775025166835,-150.7539010873504,-100.30255699265108,-0.6159809887147932,-149.03614846195688,-448.58480436725756,1.1017716366787738,-150.8896718603117,-900.4383277656125,-0.7517517616760304,0.14517130239519857,-199.85482869760472,0.14517130239519857,150.2879939296514,-100.13709772227332,0.16319762575566724,149.24410740926,-451.1809842426648,-0.8806888946357474,150.0107502239557,-900.4219947980635,-0.11404607994004284,0.48118249940717334,-199.51902791050662,0.4809720894933324
1,0.01,-0.021599943659716653,699.9784000563405,-0.02159994365971668,-1.281891312028126,548.718108687972,-1.2843842167766022,-0.6713388259620858,299.51369659933704,-0.6713388259620858,-0.1153944145246793,399.88460558547524,-0.11511933112370179,0.14877933258094211,200.148779332581,0.1487793325809421,-1.8154436363297926,98.1845563636704,-1.8154436363297923,0.16581707546684082,1000.14845431167,0.15713793073806054,-194.62128671003103,499.7001536861774,-0.4820145802215429,-342.5785401738248,405.2064623953266,-1.6128127787691948,-454.97355723332805,207.26134115588548,4.466536647062325,-505.32657714302195,62.14195512852746,-3.5955895369709725,0.35547835012496926,-210.73207574321566,5.391833275449699,1.0036055200433731,-198.9963944799566,1.0485535604843417,0.7257212870935719,-199.27427871290638,0.7257212870935718,-0.8721592173170176,-200.87215921731695,-0.8721592173170176,-0.523098605129537,-200.50577755108483,-0.5057775510848759,206.84274786386433,501.2043607675166,1.0221925011177373,358.217520823164,405.3163997709661,2.2542926781462853,456.8203004086997,205.41293505521793,-6.490155169058088,498.4284892362086,48.38812781339884,0.4206383873297325,2.8553115889487355,-187.70290683447217,4.828507636362198,0.20638673440110633,-199.79361326559885,0.2063867344011062,0.19737778645691903,-199.80262221354303,0.19737778645691872,-1.0668969200702838,-201.06689692007023,-1.0668969200702838,1.3316930447941018,-198.66830695520585,1.331693044794102,-150.6050845992904,-100.00771579757927,-0.4226014534576551,-149.1841174921315,-448.58674869042045,0.9983656537012359,-150.72489925717943,-900.1275304554683,-0.5424161113467088,0.27389516399016667,-199.7261048360098,0.27389516399016667,150.1903435681506,-100.3722997059665,0.025218711775422176,149.21096350034483,-451.3516797737723,-0.9541613560303348,149.89637973401523,-900.6805976449151,-0.2687451223599232,0.6776849604443945,-199.32368708454487,0.6763129154551138
2,0.02,0.06802938903780723,700.068029389038,0.0680293890378072,-0.8731680192536412,549.1268319807464,-0.8830276487967985,-0.6821626663307936,299.572037157439,-0.6821626663307935,-0.01920237765268811,399.98074111496453,-0.017861896255094212,-0.1749572885302309,199.8250427114698,-0.1749572885302309,-1.3779600709211965,98.62203992907894,-1.3779600709211965,0.0852433936093251,1000.0602982837754,0.07277542608805898,-194.5422831188235,499.91162235371723,-0.35001279224210147,-342.53088992982,405.02257808792234,-1.2713468320523982,-455.202659193691,207.03697811335434,4.6883912837126385,-505.60940629421657,61.838936690672455,-4.0136446382197075,0.8048776896627874,-210.83898059266747,5.263858131437221,0.6194674043193841,-199.3805325956806,0.7256866882771276,0.4903438561890258,-199.50965614381096,0.4903438561890257,-0.6825348562070366,-200.68253485620698,-0.6825348562070365,-0.37383035417790156,-200.32088201720995,-0.3208820172099982,206.7822402814382,501.30178811463117,1.0401529686719324,358.62608755451197,405.3610337154922,2.404738499845668,457.2579080814693,205.66583034245417,-6.0921692104123135,499.08750121610683,48.352549178124626,0.4092696544631031,3.4024087166285506,-187.49942100645495,4.840870991699961,-0.15628183380593808,-200.1562818338059,-0.1562818338059382,0.054181397795052155,-199.94581860220495,0.05418139779505207,-0.6584347237757007,-200.65843472377566,-0.6584347237757006,1.1399224974996012,-198.86007750250036,1.1399224974996012,-150.3460742363658,-99.48707127267548,-0.08379508886262499,-149.38563675397492,-448.52663024767037,0.8766423935282158,-150.49789174733488,-899.6388887836446,-0.2356125998317162,0.34673128157810323,-199.65326871842188,0.3467312815781032,149.96896315161436,-100.84014959240798,-0.2683800608462768,149.11753448455707,-451.69157825946536,-1.1198087279035682,149.66807091596817,-901.167028817968,-0.5692722964924555,0.8792630798894994,-199.12770473950394,0.8722952604960696
3,0.03,0.04022485058119968,700.0401328479948,0.04022485058119968,-0.5125672690149231,549.4874327309851,-0.5429370660578466,-0.7415752392571262,299.54351227401537,-0.7415752392571262,-0.16198498763555325,399.83764653794253,-0.15682826425009033,-0.6180181401416699,199.38198185985837,-0.61801814014167,-0.9073129904239023,99.0926870095762,-0.9073129904239022,0.10484852947055123,1000.0702393072052,0.08755272782685297,-194.66923581427295,499.95724607634264,-0.40559697261537375,-342.53415442483583,404.7341702596955,-0.8848436145776484,-455.64980044216475,206.57988980881078,4.799584008842741,-505.88575331286967,61.500373351501835,-4.474487103828475,1.185219323565796,-211.09686457999413,4.902824270751365,0.11046830483246037,-199.88953169516756,0.30870721289227365,0.12441504674613692,-199.87558495325385,0.12441504674613676,-0.6477280312708761,-200.64772803127087,-0.6477280312708761,-0.34316101416932937,-200.21614455676036,-0.21614455676038147,206.53168866299103,501.25624996462363,0.8934069156657072,358.8877621440785,405.1697972823494,2.349659416845039,457.61092836730097,205.7924718786109,-5.767628839524857,499.67878847783777,48.002838136558864,0.14369744209579283,3.880154312333759,-187.46022221452426,4.639557641224462,-0.3876342354663303,-200.38763423546635,-0.38763423546633036,-0.14623189321956337,-200.1462318932196,-0.14623189321956342,-0.3311579985266429,-200.33115799852663,-0.33115799852664285,0.8297896989472175,-199.1702103010528,0.8297896989472174,-150.02436514103874,-98.8312177187264,0.33971084840912036,-149.52544970767485,-448.33227918461546,0.8386262817730086,-150.3510627193046,-899.1579152969923,0.013013270143288208,0.22685871065618265,-199.7731412893438,0.2268587106561826,149.64221779726248,-101.48171118051883,-0.6870858636429542,148.95333294079938,-452.1705960369819,-1.376151445361096,149.3439391751382,-901.8176790940485,-0.9855452110222661,0.9312667292561028,-199.0962915310364,0.9037084689636341
4,0.04,-0.14196209448054314,699.857479042386,-0.14198392236527077,-0.28789783229603305,549.7121650646815,-0.36075118810509754,-0.8048801083236673,299.44631791642723,-0.8048801083236672,-0.49139825529283815,399.50679337416614,-0.47625071543173436,-0.9935429082568005,199.00651998872075,-0.9935429082568006,-0.4714195478233913,99.52864334915418,-0.4714195478233911,0.19811169240478332,1000.1527638426574,0.17548482128818693,-194.87370073644382,499.9491536482034,-0.5254208166100302,-342.51029063360784,404.4582620577921,-0.4076099055632672,-456.15860792027945,206.03563645328046,4.8820187333606935,-506.0350810331021,61.22700246790086,-4.845703057427389,1.480400652295143,-211.42573716208284,4.371492060751879,-0.30354836342442904,-200.30348546644694,-0.015112454154113775,-0.2182792689705438,-200.2182163719931,-0.2182792689705439,-0.7054015649186427,-200.7053386679412,-0.7054015649186427,-0.4068050676558529,-200.16944418759675,-0.16950708457422387,206.1092578596366,501.06597707912454,0.5914026143111559,358.9043168096797,404.7033838087716,2.0356243714419113,457.8053343854583,205.75057927443612,-5.571290865526969,500.09135957653234,47.311503308063045,-0.39179729108777545,4.223607266863315,-187.6008734521276,4.238347610087881,-0.3428647446169518,-200.34280184763946,-0.34286474461695204,-0.271984812022524,-200.27192191504508,-0.27198481202252406,-0.12671613203889576,-200.1266532350614,-0.12671613203889576,0.504454524677015,-199.4954825783455,0.504454524677015,-149.68255650524978,-98.11905090551072,0.7941310334155269,-149.54022851538392,-447.97660560037116,0.9364590232813846,-150.3306440547489,-898.7671384550099,0.14604348391642302,0.004261462415256236,-199.99567564060726,0.004261462415256158,149.30447984703704,-102.16833005320704,-1.1257754726964084,148.74818164095365,-452.72462825929045,-1.6832521554784616,148.98819983802574,-902.5273013962592,-1.4432339584063896,0.8679517398875953,-199.21687078081467,0.7830663222078647
5,0.05,-0.3807742307076347,699.6164468661785,-0.380916566395723,-0.1376300739937476,549.8627800658198,-0.2737380614694034,-0.7895988830444037,299.38334815134573,-0.7895988830444037,-0.8131020549265926,399.1799070782821,-0.7796116653065999,-1.1197556721817896,198.88065446763187,-1.1197556721817898,-0.12380344570415541,99.87660669410947,-0.1238034457041553,0.26877445198809125,1000.2120332562838,0.24063468054488102,-194.90406480255265,500.1293281937104,-0.4609409036982408,-342.38697308995904,404.2906974351854,0.21265182773351693,-456.4916865903141,205.63507747602483,5.12777726503759,-505.9998236978756,61.06501688461694,-5.061997996950652,1.800135297002155,-211.67928677533274,3.8273006324525944,-0.3997812176752408,-200.3993710778617,-0.07294051327665957,-0.38614605022383763,-200.38573591041032,-0.38614605022383774,-0.6634348119843486,-200.66302467217082,-0.6634348119843485,-0.46415035334435856,-200.1184736854408,-0.11888382525437324,205.6270685707858,500.8312808861656,0.24101178875689244,358.72398179458827,404.0480152406917,1.540293271530826,457.89423377826927,205.61237249945862,-5.4386918340936425,500.361127196106,46.4021520972417,-1.1012626669315122,4.517329401376938,-187.80547542271535,3.7712310667670677,-0.07081579280553019,-200.070405652992,-0.07081579280553041,-0.21423860671473102,-200.2138284669012,-0.214238606714731,0.03884834046290647,-199.96074151972354,0.03884834046290647,0.2924770948032399,-199.70711276538321,0.29247709480323986,-149.36305085419687,-97.4143473738958,1.230383606540709,-149.42769531098827,-447.47852783977874,1.1657391497492817,-150.32076745025483,-898.3720639699538,0.27266701048273617,-0.10804610058327851,-200.10763596076973,-0.10804610058327863,149.06259609250586,-102.77262499638616,-1.4685740268438907,148.54392127149342,-453.2912998173987,-1.993233646357769,148.7062214167188,-903.1666746422314,-1.8309335011323813,0.8197897108621932,-199.38342968061426,0.6161601795722088
6,0.06,-0.4795009337668027,699.5098091269185,-0.4802237740348608,0.04001497921744157,550.0420978410548,-0.15802097402059945,-0.6698432564338905,299.4245919500667,-0.6698432564338905,-0.9991156546168292,398.98017050197734,-0.9452128974240129,-0.9663325351714016,199.035750326666,-0.9663325351714015,0.06620578117957865,100.0682886430169,0.06620578117957873,0.26739087707848924,1000.1978490210774,0.2337014564275784,-194.68284501949032,500.57180881196234,-0.13607925941920215,-342.23727309116174,404.1698576278096,0.8929880517801843,-456.57001028371235,205.45497923432183,5.594670238453633,-505.81884461502096,60.97197457232603,-5.157858367312125,2.2149265472450494,-211.782064612586,3.363586959410198,-0.1657878514039859,-200.16370498956672,0.12264805786632926,-0.3753513355269401,-200.37326847368965,-0.3753513355269402,-0.4319843278933361,-200.4299014660561,-0.431984327893336,-0.48074194283120064,-200.087420848793,-0.08950371063027984,205.20700417250742,500.6696064366603,-0.0382816347212982,358.4110461390575,403.29299353030905,0.9482836765404611,457.93313340791906,205.4427392537358,-5.30952808741376,500.5679129084141,45.431066508786934,-1.8741104360427019,4.840615158807999,-187.9777814480454,3.3425519664337084,0.23698528517032946,-199.76093185299243,0.23698528517032935,0.02374634375238549,-199.97417079441033,0.023746343752385546,0.2532639710496567,-199.74465316711303,0.2532639710496567,0.23538225756691156,-199.7625348805958,0.23538225756691156,-149.09655653128476,-96.75625085271955,1.6147829376834897,-149.21361023931635,-446.87187536813684,1.4977292296519076,-150.1671247210176,-897.8268190424526,0.5442147479506678,-0.02974649709464325,-200.02766363525737,-0.02974649709464325,148.95417457129588,-103.24704739526703,-1.6661157191262572,148.35254912510703,-453.84867284145594,-2.29141150255942,148.57217884386844,-903.6549367256943,-2.0717817837979973,0.8366433929245884,-199.5417037938845,0.4562133442782569
7,0.07,-0.2703538206800149,699.6979086764278,-0.273212709398602,0.2405223606781523,550.2487602390481,0.016118226614851794,-0.534324334966027,299.51241172832226,-0.5343243349660272,-1.0473590752738273,398.90619235010456,-0.9889836300613494,-0.6447651257515349,199.36347275261846,-0.6447651257515351,0.061965828789106,100.07020370715901,0.061965828789106,0.2321349475608607,1000.1453308687187,0.19291123360331497,-194.38078578036013,501.1073473052393,0.2778865726647272,-342.2215275911017,403.94212315650395,1.4684807279218999,-456.5532972455917,205.33737119010806,6.114563731468883,-505.5850436065799,60.85745735994834,-5.223433874977327,2.689083470740203,-211.7688483484763,2.9559824393956338,0.17326046831496822,-199.81850165331517,0.37149937637478136,-0.3081551294501417,-200.29991725108027,-0.3081551294501417,-0.11640143524730917,-200.10816355687749,-0.11640143524730923,-0.517101705067353,-200.16359729860753,-0.17183517697736767,204.9319585966253,500.66497453991843,-0.16448619265604947,357.96099975914746,402.45917132724367,0.27612353998529404,457.9021778146391,205.22770602502442,-5.202404695039988,500.78455767759624,44.51681733843021,-2.6222797362524117,5.179888763577889,-188.12048492953835,2.9507613145248923,0.4014317040776113,-199.59033041755254,0.40143170407761114,0.33853563471530723,-199.65322648691483,0.33853563471530723,0.5226093568076512,-199.4691527648225,0.522609356807651,0.2761914847470625,-199.71557063688306,0.27619148474706245,-148.87864080410958,-96.1402691216048,1.950733027729782,-148.9281913058115,-446.18652695136893,1.9010467431127627,-149.83425462677252,-897.0958829442679,0.9951192050668249,0.10764173232214366,-199.884120389308,0.10764173232214362,148.93783460829735,-103.6269289165231,-1.7401820240273733,148.1513542118504,-454.41340931297015,-2.5995721920738855,148.5511965051367,-904.0274268666149,-2.1997298987875884,0.851860359456893,-199.69342421681648,0.2983379048136956
8,0.08,0.2233634015008586,700.1508940190937,0.2145574043006846,0.3653028079414581,550.3906772596958,0.16726685470341718,-0.519450283899959,299.51842269857707,-0.5194502838999588,-0.993004186215815,398.9302025208109,-0.9613776549321843,-0.2887388816970292,199.73663557005744,-0.2887388816970293,-0.09393485390126599,99.93143959785311,-0.09393485390126596,0.23055928293460273,1000.1155648506584,0.18583379882899714,-194.20058997148533,501.53913372094553,0.5780406899052652,-342.40541438075275,403.54923284973876,1.8707941885168502,-456.6831413796084,205.04654317516594,6.442363289689887,-505.3887425596239,60.638780308201255,-5.3467294201045785,3.1474904901436336,-211.70722608037684,2.5375878263946965,0.366291746969934,-199.60833380127576,0.47240138808607446,-0.31108337516466955,-200.2857089234103,-0.31108337516466955,0.11046193153188932,-199.8641636167138,0.11046193153188932,-0.6282280485364431,-200.3655556137005,-0.3909300654548141,204.81939139349873,500.840603506384,-0.12048952465629104,357.3446598446246,401.5443827677649,-0.4850908790007301,457.73010144549244,204.90305831280853,-5.18878011403315,501.0791550411724,43.744045352228476,-3.2684077470241477,5.461992582916624,-188.29578551513092,2.5296514464930047,0.3463992673891638,-199.6282262808565,0.34639926738916377,0.5654173034625571,-199.4092082447831,0.5654173034625571,0.766821309366511,-199.2078042388791,0.766821309366511,0.33418143943229717,-199.64044410881334,0.33418143943229706,-148.67983337175033,-95.5311437835623,2.2674033843843358,-148.61476293193883,-445.46055356266044,2.331588408367075,-149.4050376129939,-896.2563480248059,1.5421991431407878,0.13673470485634623,-199.83789084338932,0.1367347048563463,148.92648940034155,-103.9922113232941,-1.756275479593131,147.908432758217,-455.0102679654186,-2.949353029706473,148.50633515213366,-904.4181432152861,-2.351450635789809,0.776304839135271,-199.8255438223271,0.1490817259185795
9,0.09,0.7282429776828692,700.6016440550108,0.7071184885606281,0.35959621659372976,550.4204663620053,0.22348822911807387,-0.6750863723874334,299.38894389648027,-0.6750863723874334,-0.8540014164191312,399.05821553756283,-0.8679566134446259,0.024940024418822593,200.08581016983047,0.024940024418822593,-0.3080861631093359,99.75278398230226,-0.30808616310933595,0.29801280689039183,1000.1365356320632,0.2478255441254716,-194.17828454686025,501.83819699708886,0.7282234332645937,-342.70335035732705,403.08425300336273,2.1833108959617684,-457.076490939954,204.47262503555027,6.459106851944171,-505.29354500505957,60.26173057407095,-5.58895562320113,3.5384070604712017,-211.63786546416515,2.064254228546879,0.32947784819519255,-199.60965200639328,0.37371092749822854,-0.43020302387615994,-200.3693328784646,-0.4302030238761599,0.169368688387731,-199.76976116620074,0.16936868838773095,-0.7748552953310545,-200.58696869251054,-0.6478388379221066,204.79637356877092,501.1305516290538,0.02057806522958605,356.6047733723176,400.59710878007616,-1.2942385026565204,457.3553985573911,204.41454490551772,-5.3308791448439115,501.5119563591327,43.17604364062741,-3.744773756939583,5.616470451232534,-188.56343908147502,2.014081647672673,0.0913334832817059,-199.84779637130674,0.09133348328170579,0.5423211425322819,-199.39680871205613,0.5423211425322819,0.8663450081351748,-199.07278484645326,0.8663450081351748,0.361084802933759,-199.57804505165467,0.3610848029337589,-148.48913019764223,-94.91055511907223,2.575694027555511,-148.33320878388668,-444.749810711391,2.727118928710393,-148.9751146131405,-895.3965395345706,2.089709612057241,0.03768528750002814,-199.90144456708845,0.03768528750002827,148.8081532051434,-104.44746752377216,-1.8287586026469824,147.61125438772672,-455.64436634118897,-3.353195311941192,148.29904769013967,-904.958448765086,-2.66540200952823,0.566332496465041,-199.92631981276662,0.012810041821843615
