frame,time,Head_x,Head_y,Head_z,Neck_x,Neck_y,Neck_z,Spine_x,Spine_y,Spine_z,Spine1_x,Spine1_y,Spine1_z,Spine2_x,Spine2_y,Spine2_z,Spine3_x,Spine3_y,Spine3_z,Hips_x,Hips_y,Hips_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,LeftHandThumb_x,LeftHandThumb_y,LeftHandThumb_z,LeftHandIndex_x,LeftHandIndex_y,LeftHandIndex_z,LeftHandMiddle_x,LeftHandMiddle_y,LeftHandMiddle_z,LeftHandRing_x,LeftHandRing_y,LeftHandRing_z,LeftHandPinky_x,LeftHandPinky_y,LeftHandPinky_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightArm_x,RightArm_y,RightArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,RightHandThumb_x,RightHandThumb_y,RightHandThumb_z,RightHandIndex_x,RightHandIndex_y,RightHandIndex_z,RightHandMiddle_x,RightHandMiddle_y,RightHandMiddle_z,RightHandRing_x,RightHandRing_y,RightHandRing_z,RightHandPinky_x,RightHandPinky_y,RightHandPinky_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToeBase_x,RightToeBase_y,RightToeBase_z
0,0.0,-0.2304462561474938,699.7313792531284,-0.2686207468717914,-2.583707533463197,547.3781179758125,-2.621882024187495,-2.1099685147654053,298.6674986194512,-2.15920359483363,-1.9665742233406283,397.8158067997085,-2.004748714064926,1.7120660830028547,201.67389159227855,1.6738915922785567,2.3057480084710424,102.22623814833277,2.2262381483326714,-0.20059538672660226,999.8113266612233,-0.17554469074220252,-192.2011041164538,500.2305439359726,-0.04495398979285081,-366.03108016912415,378.76397492330085,12.904568281176918,-464.648636350273,221.43653429225773,-11.153596287471853,-491.50741840533055,41.761004238428306,9.983724290704478,-11.701147667300116,-223.2844880212591,-0.3002328751243679,0.5877700655342158,-199.45040442519007,0.5495955748099183,0.5331550566576795,-199.50501943406658,0.4807826205517614,2.2148259721039176,-197.8211478632017,2.17665148137962,-0.45876375067606456,-200.4969382414003,-0.49693824140036225,204.85059832681964,500.72944523470994,0.4539473089447337,335.1968848747983,384.9006526107271,-2.15277993089658,461.4694163817351,187.996047409241,-8.316538164585197,508.2480767153641,66.48170043164113,-10.352618194197275,4.77610944945209,-198.1361890511448,-7.5085680540737645,-0.24140904925987894,-200.27958353998417,-0.27958353998417657,0.340422943946065,-198.1491472164305,0.30224845322176713,-0.36251189727754674,-200.40068638800182,-0.4006863880018444,1.1217703116341688,-198.9164041790901,1.083595820909871,-149.7912521956473,-98.92673849697297,0.4464135108996673,-150.01912681778083,-449.15461311910656,0.21853888876613448,-149.0979928079559,-898.4709485531267,1.1396728985910778,-0.9515229836626835,-200.98969747438693,-0.9896974743869812,150.7006979517171,-100.1876598428569,0.41293085320130934,149.67852061615332,-451.2098371784207,-0.6092464823624427,147.64793030529304,-903.240427489281,-2.6398367932227176,-1.599286822184684,-201.63746131290895,-1.6374613129089817
1,0.01,0.1513293064346577,700.0799318658136,0.07983176424101557,-2.0384557191432213,547.8901468402356,-2.1099532613368637,-1.776399154308299,298.7786905001766,-1.879327405352004,-1.4380735697156994,398.33089354203764,-1.5095711119093418,1.796317786159881,201.72492034553864,1.7248202439662386,2.528041162129973,102.41146198638138,2.4113618848089002,-0.3581189267819042,999.6785529862456,-0.3039796740458225,-191.8550812716564,500.8235302142414,0.45909357987143107,-366.04240859344657,379.0846544531603,13.005028807571572,-464.58496058092845,221.18719522644483,-11.479190552407808,-491.3041793679198,42.211014627292656,9.94005349617385,-11.685088961878199,-223.2325457276924,-0.025934954607669036,0.599678688139005,-199.47171875248222,0.5281811459453631,0.7203735850839537,-199.35102385553728,0.6287987618089046,1.5955356732307493,-198.47174012881288,1.524038131037107,-0.2517782154649819,-200.32317565608622,-0.32327575765862415,205.05981866934587,501.2143196131444,0.8498829787745676,335.2246063158468,384.75878578488107,-2.2583541162692606,461.4736433907424,188.66870227679655,-7.806692133663862,508.4356992300035,65.95084351985354,-10.466712518081394,5.350485227115293,-197.50348957523187,-7.045460126041311,0.007830313172022763,-200.06356712744923,-0.06366722902161948,0.34009412105391335,-198.5063799065117,0.26859657886027116,-0.06466453859437016,-200.13606197921564,-0.13616208078801217,1.2829277050551475,-198.78846973556608,1.2114301628615054,-149.54460474644628,-98.42126458364535,0.748864003025536,-149.32439004891003,-448.20104988610916,0.9690787005617627,-148.81984630881885,-898.1412660173057,1.4736224406529796,-0.8694833762624664,-200.9408808168837,-0.9409809184561085,150.82366005982843,-100.37302392902714,0.4219128048844623,149.626846483892,-451.5698375049636,-0.7749007710519681,147.95205669038825,-903.2446272984673,-2.4496905645556706,-1.1468875214362932,-201.2182849620575,-1.2183850636299351
2,0.02,0.662848710911699,700.5339352799224,0.5332273685218354,-1.2366551900163016,548.6344313789943,-1.3662765324061654,-1.3089917994271858,298.8943246888889,-1.5260614189291197,-0.6118383861214215,399.1365880130749,-0.7414597285112858,1.807489289299147,201.67857585830978,1.677867946909283,2.670780839701217,102.49552687961312,2.4948189682125816,-0.5133455055898355,999.5656777057317,-0.408660098242504,-191.53028391353968,501.59457008537447,1.07059188205549,-366.2235569680273,379.4507069734216,12.95981676991251,-464.3862189627114,220.8884940209361,-11.97934048129812,-491.0790020703097,42.90316393948771,9.73149660118984,-11.819495370892259,-223.310251118696,0.28022164938125604,0.5516162220694103,-199.57729720891996,0.4219948796795463,0.9458913421477791,-199.1830220888416,0.7892004568241724,0.7829831588389283,-199.3384579547968,0.6532340532086202,0.0757208797162191,-200.05319255127316,-0.0539004626736449,205.1353377550501,501.7868132346928,1.262800761393129,335.1132713046794,384.3408479182141,-2.615916856320816,461.3372690479001,189.74370883622845,-7.0229526978705135,508.7025229481402,64.93865716267194,-10.712465924604537,6.238278190795834,-196.49903366853158,-6.336174785620745,0.4403844358694222,-199.68852899511995,0.3107630934795582,0.19373247044539774,-199.16915886459844,0.06411112805553397,0.24493753422706088,-199.8839758967623,0.11531619183719698,1.5464835928869483,-198.58242983810243,1.4168622504970845,-149.1081856745433,-97.5190931781521,1.2867512780731247,-148.2819377721055,-446.69284527571426,2.1129991805109545,-148.33992199572447,-897.5571561196433,2.0550149568919798,-0.7503816065968567,-200.87929503758625,-0.8800029489867206,150.84214733272935,-100.90499158630477,0.23783956541825882,149.58340911261826,-452.16390897123256,-1.0210778195094847,148.2616438230134,-903.4854950960207,-2.342663944297687,-0.40486180788992776,-200.5337752388793,-0.5344831502797918
3,0.03,1.0981501852674476,700.9138332009159,0.910158557076509,-0.5573063901221594,549.2583766255262,-0.7452980183130984,-0.9047595094868328,298.9324229153017,-1.2905958121410896,0.18752718252473388,399.92482157324184,-0.00046444566620518213,1.5885383972565594,201.4042214129049,1.4005467690656204,2.4961108904102494,102.27212659586259,2.268451952023277,-0.5185218979063886,999.5965766419142,-0.3651218730028466,-191.54958425755797,502.1668049701466,1.437444228391394,-366.66814606505426,379.6200453781455,12.567157885891845,-463.9562142686209,220.82625295908656,-12.431932015848421,-490.9299769792026,43.715360924185994,9.358149798278191,-12.186746724280558,-223.60737785957454,0.43951922623532147,0.3731268459139254,-199.81119013843772,0.18513521772298674,1.0686772699996177,-199.11563971435203,0.8530936381568943,0.2749053592742555,-199.89857441972396,0.08608061010215157,0.4113766274714001,-199.77294035688033,0.22338499928046152,204.72092129733767,502.02820048851333,1.2985475566335065,334.6850370083794,383.5437495941552,-3.3470519859335983,460.90777457821594,190.9036003415174,-6.235388395014286,508.98405980006794,63.61554691224067,-11.017140071404935,7.149062018926737,-195.39880196455678,-5.596679751753636,0.9832718646302621,-199.2010451197214,0.7952802364393231,-0.13690879449831683,-199.94282461308967,-0.32490042268925545,0.32974823984355106,-199.85456874450813,0.14175661165261244,1.8953517131883535,-198.2889652711633,1.7073600849974149,-148.59372938695003,-96.391751526677,1.9464309637547497,-147.34505669227474,-445.1430788320017,3.19510365843006,-147.7594207891666,-896.7268695943717,2.78073956153818,-0.632631038367002,-200.81694802271866,-0.8206226665579406,150.53316908295216,-101.89900585696212,-0.31379131755969814,149.58166230153915,-452.8516809397372,-1.2664664003347803,148.25186250898957,-904.1803124309249,-2.5950978915222866,0.3470133920104741,-199.8373035923412,0.15902176381953592
4,0.04,1.4319922163396213,701.2339883427799,1.2190507388874565,-0.2413226745016661,549.5606734519386,-0.4542641519538313,-0.6075225708866077,298.9373118306094,-1.1766669639728002,0.7262028527848524,400.4877359650344,0.5132613753326872,1.1128382206348135,200.91483434707507,0.8998967431826485,2.068896057880749,101.84387108728629,1.8289334833939024,-0.36380591430981846,999.7436280537099,-0.19611817909084633,-191.91707165931567,502.5075818000782,1.5436210605140661,-367.26695406032627,379.622170787449,11.886717463133,-463.2336001844015,221.18638936677104,-12.65524397622827,-490.7340367828648,44.76742966068619,9.039961377586224,-12.606132141585046,-223.9316235167472,0.5618009545958158,0.06091138486634144,-200.13709248869344,-0.15203009258582367,1.044498141584059,-199.15350573197577,0.82127644195749,0.2745643492759572,-199.91116402807359,0.05739193437276813,0.6774552601268404,-199.52054861343296,0.4645137826746755,203.81097269928478,501.9028912388427,0.9373475110872331,333.91704698759827,382.44044585887485,-4.398611772467092,460.1298283732321,191.9693444985529,-5.5876364917039005,509.3366803289123,62.2504496358722,-11.204499840670188,7.967326388787461,-194.28745882134172,-4.868592177392708,1.5512718533428738,-198.64673202021692,1.3383303758907084,-0.46747552917986174,-200.5180041367994,-0.6804170066320265,0.21987153932689887,-199.9781323342329,0.0069300618747335785,2.343756881109859,-197.85424699244993,2.130815403657694,-148.12164219883343,-95.1927606668701,2.6187914010450304,-146.8193412997411,-443.89045976777777,3.9210923001373548,-147.1498178117638,-895.5455667663555,3.590624640914611,-0.5221636153495876,-200.72016748890937,-0.7351675677048803,149.84745549983086,-103.29629396817202,-1.2283535704855222,149.54456318281447,-453.6051194090668,-1.5371790113802066,147.81403444499475,-905.3297150230082,-3.261774625321662,0.8185589589193489,-199.37944491464043,0.605617481467184
5,0.05,1.6137310655827086,701.4732189692822,1.4256096415224881,-0.30691439737166093,549.5527747361048,-0.49483459165498417,-0.3653203439677446,299.0302310373105,-1.05968139920479,0.9455925018867362,400.78844103341464,0.7576723076034131,0.4912769069591224,200.35096604043548,0.3033567126757992,1.5910505100168948,101.43631337678951,1.3887040490298874,-0.11583418721158001,999.9118145675302,0.015806464185322416,-192.47320421813146,502.76509384944114,1.537766606491412,-367.8376255695462,379.6537766730741,11.124364103576657,-462.2826453300129,221.881199641618,-12.643675408396998,-490.33370787639285,46.220053848473334,8.989725793429905,-12.787342657430644,-223.97872302534347,0.8892848715774551,-0.33820317770930697,-200.47851404423307,-0.52612337199263,0.853023692266957,-199.28728717425673,0.713496904229548,0.575958306221689,-199.55351947291877,0.37130442970968774,0.823579861026555,-199.31673100549716,0.6356596667432319,202.76025361381534,501.771025030857,0.5369335534300863,332.94304404434564,381.22367354754454,-5.5989471813086595,459.00958347650976,192.87690083886847,-5.133073938388373,509.8057994953206,61.02955361048055,-11.168834057106746,8.691936285739974,-193.13980227722323,-4.117067889380093,1.977150352459715,-198.16316051406397,1.7892301581763914,-0.5905836473674181,-200.6856119077422,-0.7785038416507412,0.06528555987864287,-200.07502530664507,-0.12263463440468025,2.779898110147078,-197.36041275637666,2.5919779158637537,-147.77907399513168,-94.02279818068043,3.219984476949328,-146.78947949308784,-443.03320367863654,4.209469234103995,-146.5631736512542,-893.9758801382569,4.435832803444908,-0.4426438704273967,-200.58295473695114,-0.6311082650098784,148.86909861514556,-104.94247470878926,-2.3931314148400658,149.31387776227498,-454.5211615218051,-1.9718182278558247,147.05047984457468,-906.7610934793602,-4.211750185410967,0.8300273312821231,-199.31028353524155,0.6421071369988001
6,0.06,1.422620274736426,701.4112844108574,1.2921525569604086,-0.6110968644994726,549.3788794545983,-0.7402523992987174,-0.16530808048085566,299.27727483546744,-0.8602047518807772,0.8941060022984623,400.8770022363363,0.7649504674992177,-0.10372196953327018,199.88625434956452,-0.23287750433251486,1.1317193010165871,101.11568806503229,0.9965562111353045,0.2000420710198173,1000.0751477635945,0.26181876451723995,-193.157335212543,502.982532325688,1.4517900527025638,-368.3359937528628,379.80613161268207,10.364864350119436,-461.3342896424339,222.55972056886998,-12.61863462209843,-489.7684059514836,48.021076179713546,9.169471753931724,-12.632693450843389,-223.6551913412993,1.4762505801900185,-0.7801889886477074,-200.79021266955,-0.9093445234469518,0.4548813441348167,-199.55514233676746,0.5224324287165649,0.745802190859184,-199.2567760252284,0.5653243022719256,0.7943759455881225,-199.21570280388823,0.665220410788878,201.92663516141852,502.01675748394723,0.46318893718152565,331.92213201114816,380.0387961431214,-6.823290057544316,457.56094476232624,193.59383326208166,-4.912803732818159,510.2596906301665,59.91545960202009,-11.025105042680206,9.249391512655542,-192.02739163124656,-3.4276115253451103,2.047265696094862,-197.9627579848074,1.9181101612956168,-0.49434689484477423,-200.49343244440945,-0.6235024296440186,-0.09439268887711294,-200.10441636977941,-0.22354822367635735,2.886331834496829,-197.12369184640548,2.7571762996975835,-147.60891912479673,-92.94249717224321,3.6853199049123484,-147.17610021039658,-442.50967825784306,4.11742319274069,-146.08948357114463,-892.2264906214768,5.2043329964645295,-0.4855949346539375,-200.49561861555622,-0.6177114853435336,147.73469895613684,-106.68193438156581,-3.682377833995262,148.79996270154186,-455.6889508819761,-2.6893943344055184,146.128239222591,-908.2883941151117,-5.288837567541128,0.38165799208814,-199.6283656888141,0.25250245728889564
7,0.07,0.7002230653908814,700.8588045748777,0.624427274323598,-0.9416080668294378,549.2236070063634,-1.0107702941908616,-0.05890414283923662,299.6192412300809,-0.6229484190609406,0.6294843596304529,400.7845302737494,0.5603523835726754,-0.5396213960180274,199.62562392847838,-0.6087533720758052,0.6117157848843486,100.77501074180057,0.5406334412463959,0.589571024951099,1000.2671932995103,0.5802555730937851,-194.01799662191667,503.07686012358636,1.2000371146229116,-368.8603666807968,379.9889642819034,9.51811540042798,-460.61010686726416,222.89430653756085,-12.822951124188993,-489.2402556385041,49.93189548163019,9.349793961151523,-12.287700410644849,-223.13380657497277,2.1438712749845013,-1.2200871195527305,-201.0548417950564,-1.289219095610508,-0.10092155038497064,-199.9356762258886,0.3216822779695476,0.49341222351736164,-199.33735718185358,0.3020753371139793,0.5649530970719279,-199.2701606706422,0.4958211210141503,201.37036322490204,502.7204555888198,0.7827425923906074,330.9733467091858,378.9402576636451,-8.022679813190141,455.87537107193145,194.16397434839251,-4.886703828906563,510.46300322208936,58.75900778637333,-10.97903231745202,9.515254618417739,-191.0997882182715,-2.950541706733219,1.6992736895508755,-198.13548098595277,1.6301417134930973,-0.3161658556822159,-200.14884506583394,-0.3852978317399936,-0.32722857244991355,-200.16198324795357,-0.3963605485076914,2.313259519400103,-197.52149515610355,2.244127543342325,-147.57001421632472,-91.94450128355861,4.023235722901967,-147.7841925059954,-442.1586795732293,3.805423181625522,-145.83864939541758,-890.6431810184497,5.75212578018216,-0.7393028275330136,-200.57405750303667,-0.821148017383534,146.6410036048452,-108.3397538770391,-4.92998117906113,148.09470836582983,-457.05944041198256,-3.6496677140045883,145.1952871461009,-909.7854703357834,-6.375697637805405,-0.34151540802890934,-200.17627008353253,-0.41064738408668694
8,0.08,-0.3621210371660547,699.9457849451434,-0.4172954319598109,-1.1137546824897455,549.2203099361705,-1.142770440932786,-0.08316293254483464,299.91570895737243,-0.45031495338280886,0.21470960916861492,400.513663315612,0.18589111400480346,-0.7940635305102072,199.54019835142924,-0.8228820256740188,-0.01631464226101592,100.31745410952777,-0.045626267575469476,1.0041144647502445,1000.4906126217672,0.943481991702845,-195.0433944070042,503.006162557763,0.7712652196887068,-369.45072529940114,380.1105469151213,8.525592204105822,-460.0514016871435,222.88911616873978,-13.213109982768302,-488.91304825190184,51.73025974089316,9.346248639113254,-11.904446267940838,-222.61505785962504,2.7303337346218663,-1.5798739420873817,-201.245612060148,-1.608692437251193,-0.6147250163783855,-200.28046313443897,0.28158789015740593,-0.06498940720526176,-199.72891878343995,-0.3174902101650527,0.1928912886339828,-199.47467045014457,0.16407279347017129,200.90920414302562,503.6477092088801,1.2847228498722791,330.2213952241048,377.9773817468469,-9.11717972405526,454.2086665472253,194.78215569866387,-4.828344130610734,510.3443168163483,57.52106857534952,-11.04096874460056,9.51733721880308,-190.37771178763387,-2.6545219946969034,1.148629245448608,-198.517108872612,1.1198107502847963,-0.1602500827699543,-199.82571223815694,-0.1891308752252094,-0.6674643197273684,-200.33320243778797,-0.6962828148911799,1.00566006941899,-198.6600780486416,0.9768415742551785,-147.49632503388347,-90.91543287907675,4.383703727153173,-148.34003063538114,-441.7591384805744,3.5256243817243926,-145.83547133449213,-889.4338484217673,6.033755157021786,-1.1396894339764103,-200.80542755203697,-1.21163103883771,145.8217265267148,-109.73216194212583,-5.922663544295972,147.3910288111138,-458.4867972453984,-4.67729884756854,144.36851667578065,-911.1853717930599,-7.375873395230114,-1.0462802854875204,-200.71201840354811,-1.0750987806513317
9,0.09,-1.3238775968586627,699.0291105714605,-1.4144154785276968,-1.0808555905875492,549.3523126782476,-1.0912133717406067,-0.2035743315229468,300.0509958958342,-0.3934381664568136,-0.2339796004264923,400.0922051879561,-0.24333559598697824,-0.9360066233540552,199.49816343107366,-0.9453626189145411,-0.6522092228077148,99.78186372853601,-0.6616623214522575,1.3401525833970944,1000.7047684701381,1.2491340534277398,-196.07135657414352,502.8684997816059,0.3242902720456451,-369.95645236222686,380.2397892646682,7.520401995783834,-459.3228758785999,222.84207828311642,-13.450657174263753,-488.83495264689725,53.301983046029065,9.112020850469587,-11.438256447120686,-222.1133921603856,3.2861992504599,-1.7706663678090453,-201.33649631338128,-1.7800223633695316,-0.8627667785856596,-200.42859672415787,0.475565775602919,-0.5123572603117251,-200.07668646732282,-0.8288708441019194,-0.216511784226936,-199.7895542896523,-0.22586777978742195,200.3800166500894,504.45019143475275,1.6940530920276158,329.81307698403964,377.2334674318509,-9.961158191017258,452.88477061590254,195.70249644583632,-4.415231333681968,510.100921098626,56.282156267333534,-10.974400785165704,9.49536888674059,-189.68205712526918,-2.265114657514763,0.7469158958881001,-198.8189140496841,0.7375599003276139,-0.03693375731121068,-199.60276370288346,-0.04669598224088717,-1.0710680791306124,-200.63689802470287,-1.0804240746910985,-0.5966120439537836,-200.16244198952603,-0.6059680395142695,-147.18248909480332,-89.7129091740587,4.982077608270426,-148.5977266336025,-441.12814671285787,3.522565821232515,-145.99652583446607,-888.5851461154848,6.13233414209024,-1.4426294621961393,-201.00845940776836,-1.5676413351802163,145.41277567724052,-110.78603601698606,-6.525479717655795,146.78999983883585,-459.88013826432507,-5.6195819649947545,143.7151706504079,-912.4836410438187,-8.223084744488391,-1.4905557378975955,-201.05638568346984,-1.4999117334580814
